project,class,complexity
JacksonXml-5f,ToXmlGenerator,20
JacksonXml-5f,XmlFactory,25
JacksonXml-5f,FromXmlParser,29
JacksonXml-5f,StaxUtil,12
Csv-16f,CSVParser,11
Csv-16f,CSVFormat,25
Csv-16f,Lexer,14
Collections-28f,IteratorUtils,32
Collections-28f,Flat3Map,23
Collections-28f,MapUtils,11
Collections-28f,IterableUtils,11
Collections-28f,PrototypeFactory,16
Gson-16f,Gson,22
Gson-16f,JsonTreeReader,23
Gson-16f,JsonReader,37
Gson-16f,Excluder,11
Cli-40f,HelpFormatter,11
Cli-40f,PosixParser,11
JacksonCore-26f,JsonStringEncoder,18
JacksonCore-26f,TokenFilterContext,11
JacksonCore-26f,Base64Variant,14
JacksonCore-26f,UTF32Reader,14
JacksonCore-26f,ByteSourceJsonBootstrapper,22
JacksonCore-26f,NameN,15
JacksonCore-26f,ReaderBasedJsonParser,30
JacksonCore-26f,UTF8JsonGenerator,11
JacksonCore-26f,NumberInput,12
JxPath-22f,BasicTypeConverter,32
JxPath-22f,JXPathBasicBeanInfo,14
JxPath-22f,SimpleCharStream,19
JxPath-22f,DOMNodePointer,12
JxPath-22f,PropertyIterator,13
JxPath-22f,PackageFunctions,18
JxPath-22f,JDOMNodePointer,12
JxPath-22f,ValueUtils,12
JxPath-22f,MethodLookupUtils,16
JxPath-22f,PredicateContext,12
JxPath-22f,DescendantContext,11
JxPath-22f,Step,15
Jsoup-93f,HtmlTreeBuilder,15
Jsoup-93f,DataUtil,22
Jsoup-93f,Tokeniser,18
Jsoup-93f,FormElement,12
Jsoup-93f,Tag,11
Jsoup-93f,TokenQueue,12
Jsoup-93f,CharacterReader,11
Jsoup-93f,NodeTraversor,12
Codec-18f,Base32,14
Codec-18f,QuotedPrintableCodec,11
Codec-18f,Md5Crypt,11
Codec-18f,ColognePhonetic,22
Codec-18f,Base64,11
Codec-18f,PhoneticEngine,13
Codec-18f,DoubleMetaphone,31
Compress-47f,BlockSort,18
Compress-47f,BinaryTree,12
Compress-47f,ZipArchiveInputStream,18
Compress-47f,ArchiveStreamFactory,22
Compress-47f,ArArchiveInputStream,19
Compress-47f,TarArchiveInputStream,13
Compress-47f,ExtraFieldUtils,13
Compress-47f,CpioArchiveInputStream,12
Compress-47f,GzipCompressorInputStream,11
JacksonDatabind-112f,ClassUtil,15
JacksonDatabind-112f,ObjectWriter,11
JacksonDatabind-112f,TypeFactory,14
JacksonDatabind-112f,StdDateFormat,15
JacksonDatabind-112f,AnnotationIntrospectorPair,14
JacksonDatabind-112f,SimpleType,16
JacksonDatabind-112f,NumberDeserializers,22
JacksonDatabind-112f,POJOPropertiesCollector,16
JacksonDatabind-112f,AnnotatedMethodCollector,15
Time-13f,Hours,13
Time-13f,Days,12
Time-13f,PeriodFormatterBuilder,26
Time-13f,DateTimeFormatterBuilder,30
Time-13f,ISODateTimeFormat,11
Time-13f,Months,17
Time-13f,PeriodType,17
Time-13f,FormatUtils,12
Time-13f,ZoneInfoCompiler,18
Time-13f,DateTimeParserBucket,18
Time-13f,DateTimeZoneBuilder,17
Lang-4f,StringUtils,14
Lang-4f,Conversion,23
Lang-4f,NumericEntityUnescaper,12
Lang-4f,BooleanUtils,16
Lang-4f,EqualsBuilder,14
Lang-4f,DurationFormatUtils,20
Lang-4f,AnnotationUtils,19
Lang-4f,ObjectUtils,11
Lang-4f,DateUtils,19
Lang-4f,FastDatePrinter,30
Lang-4f,HashCodeBuilder,11
Lang-4f,LocaleUtils,19
Lang-4f,FieldUtils,18
Lang-4f,ClassUtils,19
Lang-4f,RandomStringUtils,16
Lang-4f,CompareToBuilder,15
Lang-4f,ExtendedMessageFormat,11
Math-2f,Rotation,25
Math-2f,QRDecomposition,14
Math-2f,MillerUpdatingRegression,21
Math-2f,FastFourierTransformer,13
Math-2f,MathArrays,13
Math-2f,OpenIntToDoubleHashMap,15
Math-2f,MultiStartUnivariateOptimizer,12
Math-2f,GaussNewtonOptimizer,16
Math-2f,DfpMath,28
Math-2f,SummaryStatistics,13
Math-2f,BracketingNthOrderBrentSolver,19
Math-2f,FieldLUDecomposition,12
Math-2f,Dfp,31
Math-2f,NaturalRanking,13
Math-2f,SmoothingPolynomialBicubicSplineInterpolator,13
Math-2f,BracketingNthOrderBrentSolverDFP,19
Math-2f,LUDecomposition,12
Math-2f,ArrayFieldVector,14
Math-2f,Beta,16
Math-2f,Frequency,11
Math-2f,BicubicSplineInterpolator,14
Math-2f,FastMath,29
Math-2f,RealMatrixFormat,16
Math-2f,ArithmeticUtils,14
Math-2f,TricubicSplineInterpolator,23
Math-2f,LoessInterpolator,16
Math-2f,SimpleRegression,13
Math-2f,MultivariateNormalMixtureExpectationMaximization,15
Math-2f,ProperBigFractionFormat,11
Math-2f,OrderedTuple,13
