project,class,complexity,iter_0_line,iter_0_branch,iter_1_line,iter_1_branch,iter_2_line,iter_2_branch,final_line,final_branch,final_iter
JacksonDatabind,AnnotatedMethodCollector,15,0.0,0.0,45.24,33.82,66.67,57.35,85.71,73.53,10
JacksonDatabind,AnnotationIntrospectorPair,14,0.0,0.0,26.35,19.23,39.35,28.85,79.78,61.06,13
Lang,AnnotationUtils,19,7.89,10.87,7.89,16.3,25.44,33.7,64.91,65.22,11
Compress,ArArchiveInputStream,19,24.44,16.67,76.3,59.52,77.04,60.71,83.7,72.62,7
Compress,ArchiveStreamFactory,22,56.38,54.35,58.39,56.52,67.79,63.04,89.26,88.04,15
Math,ArithmeticUtils,14,7.01,6.75,55.18,54.37,,,55.18,54.37,1
Math,ArrayFieldVector,14,32.51,26.04,39.32,32.29,51.08,51.04,58.82,61.46,13
Codec,Base32,14,68.67,72.0,83.73,78.67,87.95,81.33,96.39,93.33,12
JacksonCore,Base64Variant,14,40.55,30.0,86.64,74.0,88.48,77.0,88.94,79.0,3
Codec,Base64,11,88.59,76.47,96.64,88.24,97.32,90.2,99.33,95.1,10
JxPath,BasicTypeConverter,32,65.78,65.09,72.44,69.81,84.44,80.66,96.44,92.92,14
Math,Beta,16,62.22,69.77,97.78,95.35,98.52,95.35,98.52,95.35,4
Math,BicubicSplineInterpolator,14,100.0,100.0,,,,,100.0,100.0,0
Compress,BinaryTree,12,23.08,15.62,41.54,34.38,92.31,90.62,92.31,90.62,5
Compress,BlockSort,18,12.74,9.29,87.97,84.64,87.97,84.64,87.97,85.0,6
Lang,BooleanUtils,16,34.21,28.52,66.84,67.97,88.95,88.67,92.63,93.75,15
Math,BracketingNthOrderBrentSolverDFP,19,62.79,42.42,87.6,69.7,88.37,71.21,96.9,89.39,12
Math,BracketingNthOrderBrentSolver,19,96.97,81.82,97.73,83.33,98.48,86.36,99.24,90.91,8
JacksonCore,ByteSourceJsonBootstrapper,22,46.91,31.88,60.31,41.3,78.35,63.04,81.96,71.74,4
Csv,CSVFormat,25,44.36,31.03,68.46,56.7,73.08,60.54,82.56,74.33,16
Csv,CSVParser,11,73.79,62.5,96.12,78.57,97.09,78.57,97.09,78.57,4
Jsoup,CharacterReader,11,79.53,65.0,94.49,82.5,95.67,86.5,96.46,88.0,7
JacksonDatabind,ClassUtil,15,26.18,31.44,48.82,53.03,55.88,58.71,76.18,74.62,14
Lang,ClassUtils,19,40.47,29.57,87.63,84.78,90.3,89.57,91.64,91.74,8
Codec,ColognePhonetic,22,84.88,83.72,89.53,86.05,91.86,87.21,98.84,93.02,8
Lang,CompareToBuilder,15,35.16,29.58,75.39,70.0,85.94,80.42,98.05,96.25,11
Lang,Conversion,23,22.84,25.0,33.01,35.31,52.21,47.37,87.72,80.92,17
Compress,CpioArchiveInputStream,12,28.31,30.56,63.47,55.56,63.93,56.48,71.23,62.04,7
JxPath,DOMNodePointer,12,1.41,2.17,1.41,2.17,1.41,2.17,1.41,2.17,3
Jsoup,DataUtil,22,76.79,41.0,85.71,70.0,88.39,72.0,91.96,81.0,14
Time,DateTimeFormatterBuilder,30,66.67,68.93,82.29,80.58,90.62,88.35,97.4,93.2,6
Time,DateTimeParserBucket,18,0.0,0.0,87.96,72.58,88.89,74.19,89.81,79.03,9
Time,DateTimeZoneBuilder,17,23.08,15.0,79.02,56.25,88.81,70.0,95.1,82.5,10
Lang,DateUtils,19,15.81,13.76,49.03,44.95,59.03,55.05,86.13,72.48,12
Time,Days,12,96.05,94.87,96.05,94.87,96.05,94.87,98.68,100.0,6
JxPath,DescendantContext,11,0.0,0.0,82.14,68.42,94.64,76.32,98.21,92.11,10
Math,DfpMath,28,62.67,43.3,88.53,65.46,91.2,71.13,99.73,89.69,26
Math,Dfp,31,56.47,50.64,68.67,60.54,72.86,64.65,85.52,77.25,30
Codec,DoubleMetaphone,31,63.46,46.8,65.14,47.95,65.14,47.95,65.62,48.4,7
Lang,DurationFormatUtils,20,84.16,75.94,89.14,84.21,92.31,89.47,97.74,96.24,15
Lang,EqualsBuilder,14,49.62,36.21,76.34,67.24,81.68,73.28,96.18,87.93,13
Gson,Excluder,11,75.28,68.29,84.27,76.83,91.01,80.49,96.63,92.68,9
Lang,ExtendedMessageFormat,11,76.34,54.95,79.03,60.36,79.03,60.36,79.57,61.26,5
Compress,ExtraFieldUtils,13,42.72,15.22,81.55,73.91,91.26,97.83,93.2,100.0,7
Lang,FastDatePrinter,30,89.41,83.33,95.29,90.2,95.88,91.18,96.47,93.14,7
Math,FastFourierTransformer,13,84.39,79.37,84.39,79.37,99.42,88.89,99.42,90.48,5
Math,FastMath,29,25.94,14.64,34.43,22.54,73.79,45.85,85.01,68.78,24
Math,FieldLUDecomposition,12,98.78,90.74,98.78,96.3,100.0,98.15,100.0,98.15,2
Lang,FieldUtils,18,37.76,37.5,81.82,86.11,86.71,90.28,86.71,90.28,5
Collections,Flat3Map,23,60.61,51.03,68.99,62.41,75.42,68.28,99.16,85.52,15
Jsoup,FormElement,12,90.7,100.0,,,,,90.7,100.0,0
Time,FormatUtils,12,67.74,60.78,87.74,82.35,97.42,95.1,100.0,99.02,4
Math,Frequency,11,27.03,16.07,60.14,50.0,,,60.14,50.0,1
JacksonXml,FromXmlParser,29,0.0,0.0,7.59,6.71,18.35,14.09,47.78,42.95,23
Math,GaussNewtonOptimizer,16,18.03,11.54,21.31,11.54,93.44,80.77,96.72,88.46,9
Gson,Gson,22,75.72,42.59,86.83,55.56,90.53,68.52,91.77,72.22,6
Compress,GzipCompressorInputStream,11,7.27,9.59,52.73,35.62,52.73,35.62,80.91,68.49,10
Lang,HashCodeBuilder,11,70.78,61.22,92.21,86.73,96.1,92.86,98.05,96.94,8
Cli,HelpFormatter,11,88.21,69.67,97.17,86.07,97.64,87.7,97.64,87.7,5
Time,Hours,13,82.05,90.0,89.74,90.0,89.74,90.0,89.74,90.0,4
Jsoup,HtmlTreeBuilder,15,34.29,23.33,,,,,34.29,23.33,0
Time,ISODateTimeFormat,11,36.41,15.27,57.14,56.87,90.24,80.92,97.91,95.04,10
Collections,IterableUtils,11,63.49,66.13,84.13,82.26,96.03,93.55,97.62,100.0,6
Collections,IteratorUtils,32,30.22,26.76,68.0,68.31,72.44,76.06,96.89,95.07,12
JxPath,JDOMNodePointer,12,39.31,32.66,60.42,53.87,74.93,63.64,88.92,80.13,11
JxPath,JXPathBasicBeanInfo,14,95.0,100.0,95.0,100.0,95.0,100.0,95.0,100.0,3
Gson,JsonReader,37,3.46,0.42,60.84,47.91,60.84,47.91,81.93,73.22,20
JacksonCore,JsonStringEncoder,18,72.64,65.38,,,,,72.64,65.38,0
Gson,JsonTreeReader,23,86.83,66.67,93.41,84.44,97.01,91.11,98.2,93.33,6
Math,LUDecomposition,12,100.0,92.59,,,,,100.0,92.59,0
Csv,Lexer,14,57.04,49.22,64.08,61.72,66.9,68.75,77.46,79.69,10
Lang,LocaleUtils,19,23.08,20.0,91.21,87.14,92.31,88.57,97.8,98.57,10
