project,class,complexity,iter_0_line,iter_0_branch,iter_1_line,iter_1_branch,iter_2_line,iter_2_branch,final_line,final_branch,final_iter
JacksonDatabind,AnnotatedMethodCollector,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JacksonDatabind,AnnotationIntrospectorPair,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,AnnotationUtils,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Compress,ArArchiveInputStream,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Compress,ArchiveStreamFactory,22,12.75,3.26,12.75,3.26,26.17,14.13,26.17,14.13,4
Math,ArithmeticUtils,14,3.66,2.78,8.84,6.75,8.84,6.75,8.84,6.75,3
Math,ArrayFieldVector,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Codec,Base32,14,12.12,12.0,12.12,12.0,35.15,30.67,63.03,60.0,9
JacksonCore,Base64Variant,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Codec,Base64,11,6.76,10.78,66.89,58.82,73.65,64.71,93.92,83.33,10
JxPath,BasicTypeConverter,32,14.22,12.26,14.22,12.26,38.67,35.38,37.24,35.85,5
Math,Beta,16,54.07,46.51,71.11,63.95,85.19,74.42,88.89,76.74,4
Math,BicubicSplineInterpolator,14,11.11,17.65,,,,,100.0,100.0,0
Compress,BinaryTree,12,18.46,12.5,26.15,15.62,44.62,28.12,46.15,31.25,7
Compress,BlockSort,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,BooleanUtils,16,15.79,11.72,15.79,11.72,15.79,11.72,85.79,71.48,15
Math,BracketingNthOrderBrentSolverDFP,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,BracketingNthOrderBrentSolver,19,0.0,0.0,42.42,31.82,43.18,33.33,46.97,34.85,5
JacksonCore,ByteSourceJsonBootstrapper,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
