project,class,complexity,iter_0_line,iter_0_branch,iter_1_line,iter_1_branch,iter_2_line,iter_2_branch,final_line,final_branch,final_iter
JacksonDatabind,AnnotatedMethodCollector,15,0.0,0.0,3.57,1.47,3.57,1.47,3.57,1.47,3
JacksonDatabind,AnnotationIntrospectorPair,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,AnnotationUtils,19,0.0,0.0,0.0,0.0,2.63,1.09,14.04,17.39,11
Compress,ArArchiveInputStream,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Compress,ArchiveStreamFactory,22,0.0,0.0,33.56,25.0,33.56,25.0,33.56,25.0,4
Math,ArithmeticUtils,14,3.66,3.17,26.22,18.65,35.06,28.97,46.65,40.87,7
Math,ArrayFieldVector,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Codec,Base32,14,12.12,12.0,21.39,12.0,12.12,12.0,12.12,12.0,3
JacksonCore,Base64Variant,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Codec,Base64,11,3.38,4.9,60.81,52.94,85.14,68.63,85.14,68.63,3
JxPath,BasicTypeConverter,32,13.78,11.32,13.78,11.32,13.78,11.32,54.67,50.47,11
Math,Beta,16,28.89,30.23,34.81,37.21,74.81,67.44,89.63,76.74,8
Math,BicubicSplineInterpolator,14,93.33,85.29,95.56,88.24,97.78,91.18,97.78,91.18,5
Compress,BinaryTree,12,0.0,0.0,38.46,28.12,,,40.0,31.25,1
Compress,BlockSort,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,BooleanUtils,16,20.53,29.69,44.21,46.48,53.68,52.34,86.84,78.91,15
Math,BracketingNthOrderBrentSolverDFP,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,BracketingNthOrderBrentSolver,19,,,,,,,0.0,0.0,-1
JacksonCore,ByteSourceJsonBootstrapper,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Csv,CSVFormat,25,0.0,0.0,60.0,41.76,70.0,50.19,81.79,66.67,18
Csv,CSVParser,11,48.51,28.57,55.45,33.93,55.45,33.93,55.45,33.93,4
Jsoup,CharacterReader,11,26.38,14.0,28.35,15.0,28.35,15.0,28.35,15.0,3
JacksonDatabind,ClassUtil,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,ClassUtils,19,,,,,,,0.0,0.0,-1
Codec,ColognePhonetic,22,69.77,53.49,76.74,59.3,82.56,61.63,82.56,61.63,3
Lang,CompareToBuilder,15,20.7,19.17,39.45,39.17,49.22,51.67,89.06,87.5,14
Lang,Conversion,23,1.54,0.88,6.33,3.95,6.33,3.95,8.64,5.7,5
Compress,CpioArchiveInputStream,12,7.31,13.89,8.22,15.74,8.22,15.74,9.13,17.59,7
JxPath,DOMNodePointer,12,0.0,0.0,1.69,0.72,1.69,0.72,1.69,0.72,3
Jsoup,DataUtil,22,10.71,6.0,14.29,8.0,50.0,29.0,83.04,59.0,10
Time,DateTimeFormatterBuilder,30,27.08,23.3,30.21,26.21,44.27,39.81,75.0,66.99,11
Time,DateTimeParserBucket,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Time,DateTimeZoneBuilder,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,DateUtils,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Time,Days,12,43.42,30.77,78.95,64.1,88.16,79.49,93.42,94.87,8
JxPath,DescendantContext,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,DfpMath,28,0.0,0.0,30.93,12.89,30.93,12.89,30.93,12.89,3
Math,Dfp,31,0.0,0.0,0.0,0.0,48.36,41.26,48.36,41.26,2
Codec,DoubleMetaphone,31,1.92,0.0,16.35,10.27,26.92,16.89,53.85,36.99,15
Lang,DurationFormatUtils,20,51.58,40.6,73.3,60.15,73.3,60.15,75.11,63.16,5
Lang,EqualsBuilder,14,16.03,11.21,41.98,28.02,43.89,30.17,69.85,66.81,9
Gson,Excluder,11,14.61,8.54,30.34,15.85,52.81,40.24,84.27,59.76,8
Lang,ExtendedMessageFormat,11,6.99,0.9,11.83,3.6,15.05,8.11,61.29,43.24,10
Compress,ExtraFieldUtils,13,0.0,0.0,28.16,10.87,36.89,21.74,36.89,21.74,5
Lang,FastDatePrinter,30,0.0,0.0,64.71,63.73,65.29,64.71,69.41,66.67,6
Math,FastFourierTransformer,13,0.0,0.0,42.2,41.27,42.2,41.27,42.2,41.27,3
Math,FastMath,29,1.23,0.26,1.23,0.26,3.63,0.65,3.63,0.65,4
Math,FieldLUDecomposition,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,FieldUtils,18,35.66,29.17,35.66,29.17,51.75,44.44,51.75,44.44,5
Collections,Flat3Map,23,23.18,20.34,23.46,21.72,30.17,27.59,63.13,50.34,16
Jsoup,FormElement,12,0.0,0.0,0.0,0.0,76.19,70.0,90.48,93.33,9
Time,FormatUtils,12,24.5,26.47,24.5,26.47,28.48,29.41,61.59,59.8,4
Math,Frequency,11,29.73,30.36,52.03,50.0,77.03,82.14,83.11,94.64,8
JacksonXml,FromXmlParser,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,GaussNewtonOptimizer,16,0.0,0.0,13.11,7.69,13.11,7.69,13.11,7.69,3
Gson,Gson,22,35.39,9.26,72.02,46.3,79.42,46.3,79.42,46.3,3
Compress,GzipCompressorInputStream,11,6.36,8.22,50.91,36.99,53.64,38.36,53.64,38.36,3
Lang,HashCodeBuilder,11,12.99,7.14,53.9,38.78,61.69,42.86,83.77,79.59,10
Cli,HelpFormatter,11,14.62,12.3,73.58,54.1,78.3,59.02,87.26,68.85,8
Time,Hours,13,57.69,57.5,83.33,85.0,89.74,92.5,93.59,100.0,7
Jsoup,HtmlTreeBuilder,15,0.0,0.0,0.0,0.0,2.34,0.48,2.34,0.48,4
Time,ISODateTimeFormat,11,0.0,0.0,14.63,5.34,19.51,8.4,31.53,16.03,7
Collections,IterableUtils,11,0.0,0.0,,,,,21.43,29.03,0
Collections,IteratorUtils,32,8.89,5.63,,,,,8.89,5.63,0
JxPath,JDOMNodePointer,12,0.0,0.0,0.0,0.0,2.11,1.01,2.11,1.01,5
JxPath,JXPathBasicBeanInfo,14,68.33,50.0,80.0,60.0,91.67,85.0,91.67,90.0,7
Gson,JsonReader,37,0.0,0.0,,,,,0.0,0.0,0
JacksonCore,JsonStringEncoder,18,0.0,0.0,12.26,7.69,12.26,7.69,36.32,38.46,5
Gson,JsonTreeReader,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,LUDecomposition,12,58.82,37.04,94.12,81.48,94.12,83.33,96.47,92.59,6
Csv,Lexer,14,0.0,0.0,0.0,0.0,44.37,40.62,44.37,40.62,5
Lang,LocaleUtils,19,40.66,27.14,69.23,55.71,69.23,57.14,91.21,84.29,10
Math,LoessInterpolator,16,0.0,0.0,83.62,69.23,88.79,78.85,90.52,78.85,7
Collections,MapUtils,11,0.0,0.0,4.58,6.91,11.44,12.23,39.87,37.23,10
Math,MathArrays,13,1.83,5.62,1.83,5.62,,,1.83,5.62,1
Codec,Md5Crypt,11,0.0,0.0,87.88,80.77,92.42,92.31,92.42,92.31,4
JxPath,MethodLookupUtils,16,0.0,0.0,7.91,6.0,7.91,6.0,7.91,6.0,4
Math,MillerUpdatingRegression,21,15.23,8.76,15.23,8.76,15.16,8.76,15.82,9.12,5
Time,Months,17,34.62,15.91,73.08,45.45,85.9,72.73,93.59,86.36,10
Math,MultiStartUnivariateOptimizer,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,MultivariateNormalMixtureExpectationMaximization,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JacksonCore,NameN,15,76.92,62.5,79.49,68.75,84.62,71.88,97.44,90.62,7
Math,NaturalRanking,13,41.22,41.07,42.75,42.86,42.75,42.86,77.1,83.93,11
Jsoup,NodeTraversor,12,21.21,13.04,62.12,63.04,77.27,76.09,77.27,76.09,2
JacksonDatabind,NumberDeserializers,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JacksonCore,NumberInput,12,38.35,27.52,63.91,47.71,70.68,55.05,72.93,60.55,4
Lang,NumericEntityUnescaper,12,14.63,6.25,92.68,72.92,95.12,79.17,95.12,79.17,4
Lang,ObjectUtils,11,11.72,6.1,56.25,62.2,67.19,74.39,75.0,87.8,10
JacksonDatabind,ObjectWriter,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
