project,class,complexity,iter_0_line,iter_0_branch,iter_1_line,iter_1_branch,iter_2_line,iter_2_branch,final_line,final_branch,final_iter
JacksonDatabind,AnnotatedMethodCollector,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JacksonDatabind,AnnotationIntrospectorPair,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,AnnotationUtils,19,0.0,0.0,2.63,1.09,7.89,9.78,14.04,15.22,3
Compress,ArArchiveInputStream,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Compress,ArchiveStreamFactory,22,25.5,13.04,26.17,14.13,36.24,22.83,51.68,46.74,11
Math,ArithmeticUtils,14,0.91,1.59,,,,,0.91,1.59,0
Math,ArrayFieldVector,14,0.0,0.0,1.24,0.0,3.1,0.0,3.1,0.0,2
Codec,Base32,14,12.65,12.0,,,,,12.65,12.0,0
JacksonCore,Base64Variant,14,50.0,35.0,50.91,38.0,50.91,38.0,55.91,43.0,7
Codec,Base64,11,4.7,6.86,59.06,50.0,69.13,56.86,90.6,80.39,10
JxPath,BasicTypeConverter,32,12.89,10.38,26.22,24.06,26.22,24.06,26.22,24.06,4
Math,Beta,16,40.0,38.37,63.7,60.47,64.44,61.63,64.44,61.63,2
Math,BicubicSplineInterpolator,14,100.0,100.0,,,,,100.0,100.0,0
Compress,BinaryTree,12,0.0,0.0,38.46,31.25,41.54,34.38,41.54,34.38,5
Compress,BlockSort,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,BooleanUtils,16,8.42,5.47,,,,,8.42,5.47,0
Math,BracketingNthOrderBrentSolverDFP,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,BracketingNthOrderBrentSolver,19,68.94,51.52,,,,,68.94,51.52,0
JacksonCore,ByteSourceJsonBootstrapper,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Csv,CSVFormat,25,31.28,13.41,46.67,27.2,59.23,41.76,59.23,41.76,2
