project,class,complexity,iter_0_line,iter_0_branch,iter_1_line,iter_1_branch,iter_2_line,iter_2_branch,final_line,final_branch,final_iter
JacksonDatabind,AnnotatedMethodCollector,15,46.43,32.35,46.43,32.35,46.43,32.35,46.43,32.35,2
JacksonDatabind,AnnotationIntrospectorPair,14,0.0,0.0,1.44,0.0,1.44,0.0,1.44,0.0,3
Lang,AnnotationUtils,19,14.04,15.22,14.04,15.22,34.21,33.7,34.21,33.7,5
Compress,ArArchiveInputStream,19,0.0,0.0,1.48,0.0,25.19,15.48,44.44,41.67,18
Compress,ArchiveStreamFactory,22,12.75,3.26,12.75,3.26,12.75,3.26,12.75,3.26,3
Math,ArithmeticUtils,14,10.34,7.14,10.34,7.14,10.34,7.14,10.34,7.14,3
Math,ArrayFieldVector,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Codec,Base32,14,46.52,44.0,61.5,50.67,61.5,50.67,66.84,54.67,8
JacksonCore,Base64Variant,14,58.18,43.0,58.18,43.0,58.18,43.0,58.18,43.0,2
Codec,Base64,11,77.27,58.82,77.27,58.82,77.27,58.82,77.27,58.82,3
JxPath,BasicTypeConverter,32,13.39,12.26,13.39,12.26,13.39,12.26,13.39,12.26,3
Math,Beta,16,41.67,38.37,69.87,61.63,69.87,61.63,91.67,84.88,11
Math,BicubicSplineInterpolator,14,95.83,88.24,95.83,88.24,95.83,88.24,100.0,100.0,6
Compress,BinaryTree,12,4.62,3.12,33.85,21.88,36.92,28.12,38.46,31.25,6
Compress,BlockSort,18,0.0,0.0,2.59,0.0,2.59,0.0,2.59,0.0,3
Lang,BooleanUtils,16,8.42,5.47,15.26,10.94,15.26,10.94,30.53,19.92,6
Math,BracketingNthOrderBrentSolverDFP,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,BracketingNthOrderBrentSolver,19,0.0,0.0,69.7,48.48,70.45,50.0,70.45,50.0,4
JacksonCore,ByteSourceJsonBootstrapper,22,0.0,0.0,19.07,11.59,19.07,11.59,19.07,11.59,3
Csv,CSVFormat,25,27.69,13.03,49.23,33.33,49.23,33.33,49.23,33.33,4
Csv,CSVParser,11,44.66,30.36,52.43,33.93,55.34,35.71,60.19,41.07,5
Jsoup,CharacterReader,11,87.8,73.0,91.73,78.5,91.73,78.5,98.43,89.0,10
JacksonDatabind,ClassUtil,15,4.71,1.89,9.12,6.06,9.12,6.06,15.88,11.74,8
Lang,ClassUtils,19,79.6,66.09,79.6,66.09,79.6,66.09,79.6,66.09,2
Codec,ColognePhonetic,22,68.37,53.49,72.45,58.14,72.45,58.14,72.45,58.14,4
Lang,CompareToBuilder,15,37.5,32.08,37.5,32.08,37.5,32.08,37.5,32.08,2
Lang,Conversion,23,13.63,11.18,13.63,11.18,13.63,11.18,13.63,11.18,2
Compress,CpioArchiveInputStream,12,7.31,13.89,7.76,14.81,7.76,14.81,7.76,14.81,4
JxPath,DOMNodePointer,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Jsoup,DataUtil,22,40.18,23.0,54.46,28.0,54.46,28.0,58.04,35.0,7
Time,DateTimeFormatterBuilder,30,52.6,39.81,52.6,39.81,52.6,39.81,81.77,69.9,14
Time,DateTimeParserBucket,18,20.37,4.84,25.93,6.45,25.93,6.45,62.96,46.77,14
Time,DateTimeZoneBuilder,17,41.96,28.75,42.66,30.0,45.45,33.75,54.55,45.0,16
Lang,DateUtils,19,17.42,15.14,17.42,15.14,17.42,15.14,17.42,15.14,2
Time,Days,12,94.74,92.31,94.74,92.31,94.74,92.31,94.74,92.31,2
JxPath,DescendantContext,11,0.0,0.0,22.58,5.26,24.19,7.89,24.19,7.89,5
Math,DfpMath,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,Dfp,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Codec,DoubleMetaphone,31,29.54,22.37,33.04,25.34,33.7,25.8,58.21,46.58,26
Lang,DurationFormatUtils,20,71.49,58.65,71.49,58.65,71.49,58.65,71.49,58.65,3
Lang,EqualsBuilder,14,51.53,49.14,60.31,53.45,72.9,61.64,72.9,61.64,5
Gson,Excluder,11,49.44,21.95,51.69,28.05,51.69,28.05,51.69,28.05,3
Lang,ExtendedMessageFormat,11,13.98,4.5,16.67,8.11,16.67,8.11,16.67,8.11,4
Compress,ExtraFieldUtils,13,28.16,10.87,36.89,21.74,44.66,32.61,49.51,34.78,5
Lang,FastDatePrinter,30,64.12,57.84,64.12,57.84,64.12,57.84,64.12,57.84,2
Math,FastFourierTransformer,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,FastMath,29,22.13,10.49,24.55,11.27,24.55,11.27,29.27,17.88,7
Math,FieldLUDecomposition,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,FieldUtils,18,32.87,29.17,53.15,51.39,53.15,51.39,69.23,65.28,7
Collections,Flat3Map,23,33.42,24.14,37.26,27.59,37.26,27.59,37.26,27.59,4
Jsoup,FormElement,12,83.72,73.33,83.72,73.33,100.0,80.0,100.0,80.0,2
Time,FormatUtils,12,30.97,32.35,44.52,40.2,44.52,40.2,44.52,40.2,4
Math,Frequency,11,35.21,33.93,73.24,69.64,75.35,75.0,78.17,76.79,7
JacksonXml,FromXmlParser,29,5.38,2.68,5.38,2.68,5.38,2.68,5.38,2.68,2
Math,GaussNewtonOptimizer,16,0.0,0.0,0.0,0.0,18.64,11.54,22.03,11.54,6
Gson,Gson,22,47.33,29.63,47.33,29.63,62.55,35.19,62.55,35.19,5
Compress,GzipCompressorInputStream,11,6.36,8.22,43.64,30.14,60.0,38.36,60.0,38.36,4
Lang,HashCodeBuilder,11,82.47,71.43,82.47,71.43,82.47,71.43,82.47,71.43,2
Cli,HelpFormatter,11,14.88,14.75,34.88,21.31,54.88,36.89,70.7,55.74,6
Time,Hours,13,94.87,87.5,94.87,90.0,94.87,90.0,94.87,90.0,4
Jsoup,HtmlTreeBuilder,15,2.6,0.48,2.6,0.48,2.6,0.48,2.6,0.48,2
Time,ISODateTimeFormat,11,14.63,6.49,14.63,6.49,14.63,6.49,14.63,6.49,2
Collections,IterableUtils,11,21.71,25.81,21.71,25.81,21.71,25.81,21.71,25.81,3
Collections,IteratorUtils,32,6.17,3.52,6.17,3.52,30.4,25.35,30.4,25.35,5
JxPath,JDOMNodePointer,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JxPath,JXPathBasicBeanInfo,14,65.08,45.0,92.06,85.0,95.24,90.0,95.24,95.0,8
Gson,JsonReader,37,43.83,33.05,43.83,33.05,43.83,33.05,43.83,33.05,2
JacksonCore,JsonStringEncoder,18,14.62,10.58,32.55,26.92,32.55,26.92,42.92,44.23,6
Gson,JsonTreeReader,23,39.52,31.11,39.52,31.11,39.52,31.11,39.52,31.11,2
Math,LUDecomposition,12,60.0,42.59,94.12,83.33,95.29,85.19,96.47,90.74,11
Csv,Lexer,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Lang,LocaleUtils,19,95.6,92.86,95.6,92.86,95.6,92.86,95.6,92.86,3
Math,LoessInterpolator,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Collections,MapUtils,11,1.28,0.53,3.51,4.26,3.51,4.26,3.51,4.26,4
Math,MathArrays,13,3.96,11.65,3.96,11.65,3.96,11.65,3.96,11.65,3
Codec,Md5Crypt,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JxPath,MethodLookupUtils,16,68.03,55.0,71.43,60.0,74.15,64.0,74.15,64.0,5
Math,MillerUpdatingRegression,21,17.19,10.95,20.15,15.33,20.15,15.33,20.15,15.33,4
Time,Months,17,94.87,95.45,94.87,95.45,94.87,95.45,94.87,95.45,2
Math,MultiStartUnivariateOptimizer,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,MultivariateNormalMixtureExpectationMaximization,15,11.3,12.96,11.3,12.96,36.52,33.33,37.39,35.19,6
JacksonCore,NameN,15,97.44,93.75,97.44,96.88,100.0,100.0,100.0,100.0,2
Math,NaturalRanking,13,42.22,37.5,42.22,37.5,49.63,44.64,49.63,44.64,5
Jsoup,NodeTraversor,12,56.06,50.0,57.58,52.17,57.58,52.17,57.58,52.17,3
JacksonDatabind,NumberDeserializers,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JacksonCore,NumberInput,12,43.61,31.19,73.68,56.88,73.68,56.88,87.22,82.57,11
Lang,NumericEntityUnescaper,12,97.56,83.33,,,,,97.56,83.33,0
Lang,ObjectUtils,11,74.22,84.15,78.91,86.59,79.69,87.8,79.69,87.8,3
JacksonDatabind,ObjectWriter,11,31.05,23.68,31.96,26.32,31.96,26.32,31.96,26.32,3
Math,OpenIntToDoubleHashMap,15,29.94,22.06,45.86,33.82,61.78,47.06,61.78,47.06,5
Math,OrderedTuple,13,81.25,64.89,82.03,65.96,82.81,67.02,82.81,67.02,5
JacksonDatabind,POJOPropertiesCollector,16,36.34,23.95,36.34,23.95,36.34,23.95,36.34,23.95,2
JxPath,PackageFunctions,18,76.39,47.5,84.72,57.5,84.72,57.5,84.72,57.5,3
Time,PeriodFormatterBuilder,26,77.59,60.24,77.59,60.24,77.59,60.24,77.59,60.24,2
Time,PeriodType,17,37.5,33.65,52.82,41.35,52.82,41.35,94.35,90.38,9
Codec,PhoneticEngine,13,83.64,79.55,83.64,79.55,89.09,86.36,89.09,86.36,5
Cli,PosixParser,11,62.5,51.92,66.67,59.62,66.67,59.62,66.67,59.62,4
JxPath,PredicateContext,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,ProperBigFractionFormat,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JxPath,PropertyIterator,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Collections,PrototypeFactory,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,QRDecomposition,14,58.44,42.86,58.44,42.86,58.44,42.86,58.44,42.86,3
Codec,QuotedPrintableCodec,11,0.0,0.0,11.11,4.88,11.11,4.88,11.11,4.88,4
Lang,RandomStringUtils,16,84.48,91.07,84.48,91.07,84.48,91.07,84.48,91.07,2
JacksonCore,ReaderBasedJsonParser,30,0.76,0.0,0.76,0.0,0.76,0.0,0.76,0.0,2
Math,RealMatrixFormat,16,49.54,22.73,49.54,22.73,49.54,22.73,49.54,22.73,3
Math,Rotation,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JxPath,SimpleCharStream,19,32.63,23.21,32.63,23.21,38.95,26.79,38.95,26.79,5
Math,SimpleRegression,13,6.35,1.61,7.94,4.03,7.94,4.03,7.94,4.03,4
JacksonDatabind,SimpleType,16,68.13,64.0,68.13,64.0,68.13,64.0,68.13,64.0,2
Math,SmoothingPolynomialBicubicSplineInterpolator,13,96.15,87.5,98.08,90.62,98.08,90.62,98.08,90.62,4
JacksonXml,StaxUtil,12,92.5,85.0,92.5,85.0,92.5,85.0,92.5,85.0,3
JacksonDatabind,StdDateFormat,15,54.58,39.69,54.58,39.69,54.58,39.69,70.77,54.96,11
JxPath,Step,15,0.0,0.0,3.03,2.0,3.03,2.0,3.03,2.0,4
Lang,StringUtils,14,12.33,10.8,16.65,14.18,17.98,15.87,19.15,17.41,6
Math,SummaryStatistics,13,16.67,6.9,48.53,32.76,63.24,43.1,90.69,70.69,8
Jsoup,Tag,11,89.22,51.52,89.22,51.52,89.22,51.52,89.22,51.52,2
Compress,TarArchiveInputStream,13,10.53,1.61,13.4,7.26,13.4,7.26,13.4,7.26,3
JacksonXml,ToXmlGenerator,20,4.68,3.24,18.3,13.89,18.3,13.89,18.3,13.89,3
JacksonCore,TokenFilterContext,11,21.01,11.11,21.01,11.11,24.64,11.11,24.64,11.11,4
Jsoup,TokenQueue,12,84.4,69.23,85.11,70.77,85.11,70.77,85.82,76.15,8
Jsoup,Tokeniser,18,60.51,43.62,60.51,43.62,60.51,44.68,61.15,45.74,5
Math,TricubicSplineInterpolator,23,96.63,88.89,96.63,88.89,96.63,88.89,96.63,88.89,3
JacksonDatabind,TypeFactory,14,32.72,25.65,32.72,25.65,32.72,25.65,32.72,25.65,2
JacksonCore,UTF32Reader,14,56.44,46.67,56.44,46.67,56.44,46.67,56.44,46.67,2
JacksonCore,UTF8JsonGenerator,11,0.76,0.0,19.29,13.61,19.29,13.61,19.29,13.61,3
JxPath,ValueUtils,12,2.99,2.7,2.99,2.7,2.99,2.7,2.99,2.7,3
JacksonXml,XmlFactory,25,25.0,5.77,25.0,5.77,25.0,5.77,25.0,5.77,2
Compress,ZipArchiveInputStream,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Time,ZoneInfoCompiler,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
