project,class,complexity,max_line,max_branch
Cli,HelpFormatter,11,74.53,61.48
Cli,PosixParser,11,72.46,57.69
Codec,Base32,14,59.39,49.33
Codec,Base64,11,86.49,83.33
Codec,ColognePhonetic,22,83.72,77.91
Codec,DoubleMetaphone,31,57.93,44.29
Codec,Md5Crypt,11,96.97,96.15
Codec,PhoneticEngine,13,0.0,0.0
Codec,QuotedPrintableCodec,11,75.61,70.73
Collections,Flat3Map,23,64.53,61.03
Collections,IterableUtils,11,87.3,90.32
Collections,IteratorUtils,32,64.89,64.08
Collections,MapUtils,11,85.95,84.57
Collections,PrototypeFactory,16,38.46,50.0
Compress,ArArchiveInputStream,19,39.26,34.52
Compress,ArchiveStreamFactory,22,40.94,30.43
Compress,BinaryTree,12,20.0,15.62
Compress,BlockSort,18,0.0,0.0
Compress,CpioArchiveInputStream,12,36.53,43.52
Compress,ExtraFieldUtils,13,57.28,47.83
Compress,GzipCompressorInputStream,11,60.0,36.99
Compress,TarArchiveInputStream,13,20.1,15.32
Compress,ZipArchiveInputStream,18,10.67,2.95
Csv,CSVFormat,25,56.15,40.61
Csv,CSVParser,11,30.69,3.57
Csv,Lexer,14,0.0,0.0
Gson,Excluder,11,21.35,14.63
Gson,Gson,22,83.13,57.41
Gson,JsonReader,37,21.69,12.97
Gson,JsonTreeReader,23,0.0,0.0
JacksonCore,Base64Variant,14,12.44,10.0
JacksonCore,ByteSourceJsonBootstrapper,22,0.0,0.0
JacksonCore,JsonStringEncoder,18,69.34,65.38
JacksonCore,NameN,15,5.13,3.12
JacksonCore,NumberInput,12,91.73,88.07
JacksonCore,ReaderBasedJsonParser,30,0.0,0.0
JacksonCore,TokenFilterContext,11,0.0,0.0
JacksonCore,UTF32Reader,14,0.0,0.0
JacksonCore,UTF8JsonGenerator,11,0.0,0.0
JacksonDatabind,AnnotatedMethodCollector,15,0.0,0.0
JacksonDatabind,AnnotationIntrospectorPair,14,21.66,19.23
JacksonDatabind,ClassUtil,15,34.41,34.09
JacksonDatabind,NumberDeserializers,22,0.0,0.0
JacksonDatabind,ObjectWriter,11,9.68,2.63
JacksonDatabind,POJOPropertiesCollector,16,0.0,0.0
