project,num_classes,avg_complexity,avg_final_line,avg_final_branch,max_line,min_line,max_branch,min_branch,std_line,std_branch,classes_with_coverage
Cli,2,11.0,98.82,91.92500000000001,100.0,97.64,96.15,87.7,1.6687720036002518,5.975052301026329,2
Codec,7,16.142857142857142,93.6,88.45714285714286,99.33,65.62,100.0,48.4,12.383322117536418,17.818665040050668,7
Collections,5,18.6,98.02,94.204,100.0,96.43,100.0,85.52,1.515338246069171,6.276785005080228,5
Compress,9,15.333333333333334,81.32444444444445,76.04,93.2,49.13,100.0,36.9,13.79025571836062,18.804355213620063,9
Csv,3,16.666666666666668,85.70333333333333,77.53,97.09,77.46,79.69,74.33,10.185510951019268,2.8272955275315654,3
Gson,4,23.25,92.1325,82.8625,98.2,81.93,93.33,72.22,7.331768204191944,11.721667614578854,4
JacksonCore,9,16.333333333333332,66.61777777777777,57.76111111111111,100.0,0.0,93.75,0.0,31.9601035580995,31.132007421801617,8
JacksonDatabind,9,15.333333333333334,84.06333333333333,77.44444444444444,97.92,66.24,97.73,54.49,10.08821341962986,14.432460905118635,9
JacksonXml,4,21.5,66.06,65.2225,97.5,41.91,97.5,42.95,25.99124596218247,26.74404154822777,4
Jsoup,8,14.125,87.15375,79.97625,100.0,34.29,100.0,23.33,21.622843038588346,23.716480669718745,8
JxPath,12,15.5,76.88833333333334,73.20833333333333,98.21,0.0,100.0,0.0,35.88750829348774,34.49238304145986,11
Lang,17,16.88235294117647,88.21176470588235,85.02235294117646,98.05,35.8,100.0,33.52,16.065737313960305,17.653728901216507,17
Math,30,16.466666666666665,91.69033333333333,85.40566666666666,100.0,55.18,100.0,50.0,13.037618907669039,13.918868781654618,30
Time,11,17.363636363636363,94.70727272727272,89.92272727272727,100.0,80.17,100.0,75.52,6.047903919390736,9.638996930084678,11
