project,num_classes,avg_complexity,avg_final_line,avg_final_branch,max_line,min_line,max_branch,min_branch,std_line,std_branch,classes_with_coverage
Cli,2,11.0,41.18,24.95,52.17,30.19,32.69,17.21,15.542207050480314,10.946012972767754,2
Codec,7,16.142857142857142,72.16428571428571,61.95,91.86,44.72,92.31,29.27,18.978416562982677,23.877417504132787,7
Collections,5,18.6,27.104,28.36,49.16,2.94,50.0,5.32,17.74218363110922,18.121345148746546,5
Compress,9,15.333333333333334,27.646666666666665,20.223333333333333,57.04,0.0,48.81,0.0,21.01157835575424,16.083864585353858,8
Csv,3,16.666666666666668,50.88333333333333,34.79,64.36,35.21,37.5,30.47,14.698626919999477,3.7814415240751775,3
Gson,4,23.25,57.852500000000006,40.7175,79.84,41.42,53.7,29.71,17.603490894327372,10.431338600582382,4
JacksonCore,9,16.333333333333332,32.53,24.682222222222222,84.62,0.0,68.75,0.0,36.821005214415315,29.181823014411634,5
JacksonDatabind,9,15.333333333333334,22.052222222222223,16.607777777777777,63.25,0.0,40.91,0.0,25.729766700155764,18.998041200198625,6
JacksonXml,4,21.5,26.915,23.5575,92.5,0.0,87.5,0.0,44.30352393809474,42.74622663658942,2
Jsoup,8,14.125,65.92999999999999,52.10125,86.27,2.34,80.0,0.48,29.006809052851217,25.125083901778886,8
JxPath,12,15.5,32.70333333333333,27.780833333333334,93.33,0.0,90.0,0.0,38.296574101070554,34.536793149634,8
Lang,17,16.88235294117647,51.568823529411766,45.92235294117647,100.0,0.0,88.79,0.0,33.848468185863474,32.328705419760425,16
Math,30,16.466666666666665,50.966,46.594,100.0,0.0,100.0,0.0,36.38586411762412,36.483931616629484,26
Time,11,17.363636363636363,47.732727272727274,39.64545454545455,94.74,0.0,90.91,0.0,36.35728677745607,34.24726247852122,9
