project,num_classes,avg_complexity,avg_final_line,avg_final_branch,max_line,min_line,max_branch,min_branch,std_line,std_branch,classes_with_coverage
Cli,2,11.0,72.61500000000001,56.53999999999999,87.26,57.97,68.85,44.23,20.71115762095398,17.4089689528128,2
Codec,7,16.142857142857142,66.34142857142858,56.53142857142857,92.42,12.12,92.31,12.0,29.934081706627442,29.03446999032439,7
Collections,5,18.6,37.434,34.446,63.13,8.89,50.34,5.63,22.397497181604912,18.45258599763188,5
Compress,9,15.333333333333334,23.446666666666665,18.107777777777777,53.64,0.0,38.36,0.0,21.00260876653184,14.776688378809524,6
Csv,3,16.666666666666668,60.53666666666667,47.07333333333333,81.79,44.37,66.67,33.93,19.22159549395766,17.29771757583449,3
Gson,4,23.25,40.9225,26.515,84.27,0.0,59.76,0.0,47.29469764149042,31.10609104339534,2
JacksonCore,9,16.333333333333332,22.965555555555557,21.07,97.44,0.0,90.62,0.0,37.725538800364106,34.2088336544817,3
JacksonDatabind,9,15.333333333333334,19.585555555555555,15.53888888888889,83.75,0.0,69.47,0.0,31.32753824956212,25.523607427460387,4
JacksonXml,4,21.5,26.7925,23.0775,87.5,0.0,87.5,0.0,41.520302965336526,43.008146805770025,2
Jsoup,8,14.125,59.003750000000004,47.113749999999996,90.48,2.34,93.33,0.48,32.981048643772034,32.60223740678807,8
JxPath,12,15.5,34.94416666666667,31.440833333333334,94.44,0.0,90.0,0.0,41.842035075297474,37.95909986918536,9
Lang,17,16.88235294117647,57.116470588235295,53.91235294117647,95.12,0.0,87.8,0.0,33.752585630803246,32.800322126736,15
Math,30,16.466666666666665,43.23133333333333,39.903,100.0,0.0,100.0,0.0,41.21874872478278,39.3192501024713,22
Time,11,17.363636363636363,43.21181818181818,40.64818181818182,93.59,0.0,100.0,0.0,41.01970278248779,41.396488212934635,7
