project,num_classes,avg_complexity,avg_final_line,avg_final_branch,max_line,min_line,max_branch,min_branch,std_line,std_branch,classes_with_coverage
Cli,2,11.0,57.96,37.53,60.85,55.07,38.52,36.54,4.087077195258246,1.400071426749367,2
Codec,7,16.142857142857142,78.30571428571429,70.68571428571428,93.92,48.32,96.15,33.56,17.653652933734758,21.034257658355695,7
Collections,5,18.6,21.956,22.426,38.46,6.35,50.0,4.84,15.913592617633519,18.84334975528502,5
Compress,9,15.333333333333334,15.29888888888889,10.89,46.15,0.0,31.25,0.0,17.00638368704855,10.474029788004232,6
Csv,3,16.666666666666668,54.306666666666665,41.233333333333334,61.54,42.96,46.36,37.5,9.949559454233807,4.591397753770994,3
Gson,4,23.25,51.1225,34.15,82.3,21.84,59.26,12.76,25.60980850507607,19.879211922676078,4
JacksonCore,9,16.333333333333332,25.70777777777778,21.074444444444445,97.44,0.0,81.25,0.0,37.41840582446618,31.803547015667572,4
JacksonDatabind,9,15.333333333333334,13.995555555555557,10.724444444444444,53.85,0.0,40.0,0.0,21.13470966864172,16.05606747549903,5
JacksonXml,4,21.5,23.505,19.23,85.0,0.0,75.0,0.0,41.21658363652507,37.191015043959204,2
Jsoup,8,14.125,45.83,32.9075,84.31,2.34,66.67,0.48,31.87840155519542,26.13139586780622,8
JxPath,12,15.5,33.66583333333333,29.350833333333334,94.44,0.0,100.0,0.0,39.77403229114405,37.60043676205065,9
Lang,17,16.88235294117647,38.394705882352945,34.17058823529412,90.11,0.0,83.93,0.0,29.834777550211236,28.886783628198433,16
Math,30,16.466666666666665,46.157333333333334,40.876,100.0,0.0,100.0,0.0,36.31120202697341,34.320111787455595,25
Time,11,17.363636363636363,33.733636363636364,31.220909090909092,94.87,0.0,92.5,0.0,40.66862236976495,38.87839591715313,7
