project,num_classes,avg_complexity,avg_final_line,avg_final_branch,max_line,min_line,max_branch,min_branch,std_line,std_branch,classes_with_coverage
Cli,2,11.0,63.114999999999995,37.975,72.46,53.77,48.08,27.87,13.215825740376566,14.290628047780123,2
Codec,7,16.142857142857142,60.53,54.815714285714286,94.19,0.0,96.15,0.0,41.03005808753708,39.5727755142947,6
Collections,5,18.6,33.438,32.403999999999996,95.24,0.0,100.0,0.0,41.38118799647975,42.58920203525771,4
Compress,9,15.333333333333334,34.35777777777778,28.45,74.55,0.0,54.35,0.0,24.582701121814186,21.259960606736787,7
Csv,3,16.666666666666668,50.98,37.99,59.23,42.25,41.76,33.93,8.500170586523542,3.9230472849559175,3
Gson,4,23.25,21.8125,15.2025,43.37,0.0,32.85,0.0,17.851239686176793,13.495484121240953,3
JacksonCore,9,16.333333333333332,26.235555555555553,21.96888888888889,97.44,0.0,90.62,0.0,35.75595618603672,32.01403889094769,6
JacksonDatabind,9,15.333333333333334,18.166666666666668,14.337777777777777,67.03,0.0,60.0,0.0,25.362373705944798,20.96043283056064,5
JacksonXml,4,21.5,31.89,23.5475,92.5,4.68,82.5,2.68,41.48979151550415,39.32464822898399,4
Jsoup,8,14.125,49.8025,39.24875,88.24,2.34,73.33,0.48,31.108098509184757,25.450765600328356,8
JxPath,12,15.5,34.09916666666667,29.3525,93.33,0.0,90.0,0.0,40.33152488119467,35.06766579187884,7
Lang,17,16.88235294117647,39.25588235294118,36.61352941176471,94.51,0.0,92.86,0.0,33.463623171068825,33.47376620974559,15
Math,30,16.466666666666665,46.403,39.164,100.0,0.0,100.0,0.0,34.48530953099125,32.97376967980082,26
Time,11,17.363636363636363,46.74454545454545,41.41909090909091,94.87,0.0,95.45,0.0,36.87769688134994,37.00609989030064,10
