project,num_classes,avg_complexity,avg_final_line,avg_final_branch,max_line,min_line,max_branch,min_branch,std_line,std_branch,classes_with_coverage
Cli,2,11.0,68.685,57.68,70.7,66.67,59.62,55.74,2.8496403281817875,2.743574311003801,2
Codec,7,16.142857142857142,66.77142857142857,57.94285714285714,92.43,11.11,96.15,4.88,27.296045152226377,29.505990755712485,7
Collections,5,18.6,32.422,36.602,69.23,3.51,100.0,4.26,24.15043622794421,36.70695533546742,5
Compress,9,15.333333333333334,25.434444444444445,19.043333333333333,60.0,0.0,41.67,0.0,22.616848869322574,17.367080209407682,8
Csv,3,16.666666666666668,36.47333333333333,24.8,60.19,0.0,41.07,0.0,32.05867173376547,21.823310931203817,2
Gson,4,23.25,49.3975,31.849999999999998,62.55,39.52,35.19,28.05,10.112795113122779,3.032226904438385,4
JacksonCore,9,16.333333333333332,45.39111111111111,39.19777777777777,100.0,0.76,100.0,0.0,33.20417949763419,34.30740983292741,9
JacksonDatabind,9,15.333333333333334,33.74111111111111,26.552222222222223,70.77,0.0,64.0,0.0,25.56011318658646,22.02281361326124,8
JacksonXml,4,21.5,35.295,26.835,92.5,5.38,85.0,2.68,38.99630879968,39.063787578779404,4
Jsoup,8,14.125,69.105,53.7575,100.0,2.6,89.0,0.48,32.16013059674976,28.52134376217222,8
JxPath,12,15.5,28.055,22.345,95.24,0.0,95.0,0.0,36.433044316688914,32.16041539193513,8
Lang,17,16.88235294117647,56.838235294117645,51.38411764705882,97.56,13.63,92.86,8.11,29.93126839846879,29.879956923250308,17
Math,30,16.466666666666665,38.51466666666666,32.656,100.0,0.0,100.0,0.0,38.864268647065316,35.29919834979162,20
Time,11,17.363636363636363,64.98636363636363,57.88545454545455,94.87,0.0,95.45,0.0,33.56336433456195,33.80511688003352,10
