project,num_classes,avg_complexity,avg_final_line,avg_final_branch,max_line,min_line,max_branch,min_branch,std_line,std_branch,classes_with_coverage
Cli,2,11.0,73.5,59.58,74.53,72.46,61.48,57.69,1.04,1.89,2
Codec,7,16.14,65.73,60.25,96.97,0.0,96.15,0.0,29.88,29.87,6
Collections,5,18.6,68.23,70.0,87.3,38.46,90.32,50.0,17.83,15.1,5
Compress,9,15.33,31.64,25.24,60.0,0.0,47.83,0.0,19.26,16.4,8
Csv,3,16.67,28.95,14.73,56.15,0.0,40.61,0.0,22.96,18.36,2
Gson,4,23.25,31.54,21.25,83.13,0.0,57.41,0.0,31.05,21.63,3
JacksonCore,9,16.33,19.85,18.51,91.73,0.0,88.07,0.0,33.1,31.72,4
JacksonDatabind,9,15.33,18.33,14.44,72.08,0.0,57.25,0.0,22.02,18.85,6
JacksonXml,4,21.5,18.59,18.84,60.0,0.0,72.5,0.0,24.62,31.0,2
Jsoup,8,14.12,27.82,17.36,63.73,0.0,45.38,0.0,26.56,17.0,5
JxPath,12,15.5,23.11,22.76,70.39,0.0,70.0,0.0,28.33,27.5,9
Lang,17,16.88,62.82,59.77,85.16,6.14,95.12,9.01,22.79,22.84,17
Math,30,16.47,30.87,26.38,87.06,0.0,87.04,0.0,32.23,28.86,18
Time,11,17.36,63.32,50.23,92.34,30.56,88.46,19.35,18.5,18.72,11
