project,num_classes,avg_complexity,avg_final_line,avg_final_branch,max_line,min_line,max_branch,min_branch,std_line,std_branch,classes_with_coverage
Cli,2,11.0,17.925,9.015,35.85,0.0,18.03,0.0,25.34977810553773,12.749135264793452,1
Codec,7,16.142857142857142,29.682857142857145,24.959999999999997,92.42,0.0,88.46,0.0,40.69015389267438,36.785547433740874,4
Collections,5,18.6,32.634,32.418,63.56,0.0,61.29,0.0,25.15377665480872,27.818976796424415,4
Compress,9,15.333333333333334,11.844444444444445,11.343333333333334,49.51,0.0,36.96,0.0,15.027423357907296,12.008508441933994,8
Csv,3,16.666666666666668,37.69,23.786666666666665,57.43,0.0,41.0,0.0,32.652765579656496,21.2757263879129,2
Gson,4,23.25,13.16,3.5875,34.57,0.0,7.41,0.0,15.575260297450356,3.712280296529345,3
JacksonCore,9,16.333333333333332,23.61777777777778,21.435555555555556,87.22,0.0,82.57,0.0,33.862230721623234,32.553292502875614,4
JacksonDatabind,9,15.333333333333334,9.99,6.06,36.26,0.0,28.0,0.0,12.405627755176276,9.680295708293214,5
JacksonXml,4,21.5,17.45,18.5575,57.5,0.0,67.5,0.0,27.322335185704752,32.78220897072069,2
Jsoup,8,14.125,24.72375,19.13125,71.57,0.0,56.15,0.0,32.01205439808127,25.730669547393106,5
JxPath,12,15.5,12.013333333333334,9.484166666666667,61.67,0.0,50.0,0.0,19.167539953754833,15.480485932197661,7
Lang,17,16.88235294117647,43.98294117647059,40.42411764705882,86.72,0.0,87.8,0.0,30.494198375409436,28.797567401349962,14
Math,30,16.466666666666665,38.547333333333334,33.695,98.7,0.0,92.86,0.0,34.09437256967109,31.078700517590324,21
Time,11,17.363636363636363,53.374545454545455,42.058181818181815,88.46,0.0,75.0,0.0,29.32775489656048,23.52887239889826,10
