project,class,complexity,max_line,max_branch
JacksonDatabind,AnnotatedMethodCollector,15,0.0,0.0
JacksonDatabind,AnnotationIntrospectorPair,14,0.0,0.0
Lang,AnnotationUtils,19,5.26,4.35
Compress,ArArchiveInputStream,19,14.81,20.24
Compress,ArchiveStreamFactory,22,9.4,4.35
Math,ArithmeticUtils,14,67.68,64.29
Math,ArrayFieldVector,14,11.93,14.58
Codec,Base32,14,0.0,0.0
JacksonCore,Base64Variant,14,57.14,38.0
Codec,Base64,11,81.76,65.69
JxPath,BasicTypeConverter,32,8.0,7.08
Math,Beta,16,84.44,72.09
Math,BicubicSplineInterpolator,14,0.0,0.0
Compress,BinaryTree,12,13.85,9.38
Compress,BlockSort,18,0.0,0.0
Lang,BooleanUtils,16,74.21,67.19
Math,BracketingNthOrderBrentSolverDFP,19,0.0,0.0
Math,BracketingNthOrderBrentSolver,19,0.0,0.0
JacksonCore,ByteSourceJsonBootstrapper,22,0.0,0.0
Csv,CSVFormat,25,55.64,41.0
Csv,CSVParser,11,57.43,30.36
Jsoup,CharacterReader,11,60.63,51.0
JacksonDatabind,ClassUtil,15,15.59,14.77
Lang,ClassUtils,19,67.79,59.13
Codec,ColognePhonetic,22,0.0,0.0
Lang,CompareToBuilder,15,61.72,54.58
Lang,Conversion,23,55.47,48.46
Compress,CpioArchiveInputStream,12,9.13,19.44
JxPath,DOMNodePointer,12,0.56,0.36
Jsoup,DataUtil,22,6.25,3.0
Time,DateTimeFormatterBuilder,30,45.83,43.69
Time,DateTimeParserBucket,18,0.0,0.0
Time,DateTimeZoneBuilder,17,30.77,20.0
Lang,DateUtils,19,0.0,0.0
Time,Days,12,81.58,58.97
JxPath,DescendantContext,11,0.0,0.0
Math,DfpMath,28,37.6,26.29
Math,Dfp,31,52.09,43.06
Codec,DoubleMetaphone,31,4.33,2.28
Lang,DurationFormatUtils,20,46.61,42.11
Lang,EqualsBuilder,14,48.85,51.29
Gson,Excluder,11,14.61,6.1
Lang,ExtendedMessageFormat,11,16.67,9.01
Compress,ExtraFieldUtils,13,49.51,36.96
Lang,FastDatePrinter,30,0.0,0.0
Math,FastFourierTransformer,13,73.41,61.9
Math,FastMath,29,63.18,43.13
Math,FieldLUDecomposition,12,0.0,0.0
Lang,FieldUtils,18,43.36,45.83
Collections,Flat3Map,23,23.18,25.17
Jsoup,FormElement,12,0.0,0.0
Time,FormatUtils,12,48.34,50.0
Math,Frequency,11,71.62,66.07
JacksonXml,FromXmlParser,29,0.0,0.0
Math,GaussNewtonOptimizer,16,0.0,0.0
Gson,Gson,22,34.57,7.41
Compress,GzipCompressorInputStream,11,4.55,5.48
Lang,HashCodeBuilder,11,80.52,65.31
Cli,HelpFormatter,11,35.85,18.03
Time,Hours,13,82.05,65.0
Jsoup,HtmlTreeBuilder,15,2.6,0.48
Time,ISODateTimeFormat,11,66.9,40.46
Collections,IterableUtils,11,51.59,61.29
Collections,IteratorUtils,32,63.56,61.27
JxPath,JDOMNodePointer,12,35.36,25.25
JxPath,JXPathBasicBeanInfo,14,61.67,50.0
Gson,JsonReader,37,3.46,0.84
JacksonCore,JsonStringEncoder,18,11.79,6.73
Gson,JsonTreeReader,23,0.0,0.0
Math,LUDecomposition,12,84.71,77.78
Csv,Lexer,14,0.0,0.0
Lang,LocaleUtils,19,23.08,20.0
Math,LoessInterpolator,16,76.72,65.38
Collections,MapUtils,11,24.84,14.36
Math,MathArrays,13,56.98,62.25
Codec,Md5Crypt,11,92.42,88.46
JxPath,MethodLookupUtils,16,0.0,0.0
Math,MillerUpdatingRegression,21,8.2,3.28
Time,Months,17,88.46,75.0
Math,MultiStartUnivariateOptimizer,12,0.0,0.0
