project,class,max_complexity,sum_complexity,methods,baseline_line,panta_basic_line,panta_coverage_line,panta_line,symprompt_line,baseline_branch,lane_basic_branch,panta_coverage_branch,panta_branch,symprompt_branch
JacksonXml-5f,ToXmlGenerator,20,2,55,0.0,32.48,23.72,61.11,0.0,0.0,30.56,21.3,60.65,0.0
JacksonXml-5f,XmlFactory,25,1.0,32,34.02,52.46,58.61,70.49,32.79,8.65,29.81,32.69,61.54,11.54
JacksonXml-5f,FromXmlParser,29,2,27,0.0,37.34,0.0,44.62,0.0,0.0,28.19,0.0,42.28,0.0
JacksonXml-5f,StaxUtil,12,1.0,4,15.0,92.5,70.0,95.0,72.5,7.5,75.0,67.5,87.5,77.5
Csv-16f,CSVParser,11,1,13,1.98,70.3,76.24,68.32,62.38,0.0,55.36,53.57,33.93,46.43
Csv-16f,CSVFormat,25,1,47,34.36,62.05,48.97,80.26,61.54,18.01,42.15,29.89,62.84,48.28
Csv-16f,Lexer,14,1.0,12,0.0,66.2,52.82,82.39,15.49,0.0,56.25,50.0,73.44,11.72
Collections-28f,IteratorUtils,32,1.0,68,2.67,63.56,54.22,83.56,67.11,0.0,59.86,49.3,83.1,60.56
Collections-28f,Flat3Map,23,3.0,36,34.64,55.87,60.06,82.96,24.3,25.86,44.83,52.76,66.55,20.0
Collections-28f,MapUtils,11,2,71,32.35,81.05,58.82,53.27,89.54,27.66,69.68,50.53,52.66,81.38
Collections-28f,IterableUtils,11,1.0,40,35.71,72.22,82.54,89.68,81.75,20.97,69.35,79.03,90.32,85.48
Collections-28f,PrototypeFactory,16,9,3,46.15,61.54,69.23,53.85,46.15,75.0,75.0,100.0,50.0,75.0
Gson-16f,Gson,22,1.0,28,62.14,81.07,69.96,90.53,81.07,35.19,70.37,42.59,68.52,64.81
Gson-16f,JsonTreeReader,23,2.0,18,0.0,89.22,88.62,90.42,40.12,0.0,81.11,76.67,84.44,38.89
Gson-16f,JsonReader,37,4.5,20,35.24,63.1,66.87,53.16,19.58,24.27,49.16,52.93,42.05,13.18
Gson-16f,Excluder,11,2,9,14.61,14.61,76.4,74.16,22.47,8.54,8.54,51.22,48.78,13.41
Cli-40f,HelpFormatter,11,1,29,48.58,82.08,91.98,81.6,85.85,26.23,60.66,68.85,63.11,68.03
Cli-40f,PosixParser,11,8.0,2,0.0,75.36,78.26,85.51,0.0,0.0,67.31,75.0,76.92,0.0
JacksonCore-26f,JsonStringEncoder,18,12.0,4,15.57,62.74,44.34,61.79,44.34,6.73,59.62,41.35,62.5,47.12
JacksonCore-26f,UTF8JsonGenerator,11,4.0,42,0.0,0.0,10.89,30.28,0.0,0.0,0.0,7.08,23.05,0.0
JacksonCore-26f,TokenFilterContext,11,2.5,16,20.29,32.61,38.41,83.33,12.32,10.0,22.22,23.33,75.56,6.67
JacksonCore-26f,Base64Variant,14,1.0,26,37.33,41.01,63.59,76.04,63.13,22.0,30.0,42.0,55.0,57.0
JacksonCore-26f,UTF32Reader,14,3,3,0.0,9.9,31.68,56.44,49.5,0.0,1.67,20.0,53.33,43.33
JacksonCore-26f,ByteSourceJsonBootstrapper,22,5.0,6,12.37,58.76,16.49,79.9,17.01,15.22,48.55,20.29,68.84,7.25
JacksonCore-26f,NameN,15,1,5,82.05,84.62,100.0,97.44,53.85,46.88,75.0,96.88,96.88,65.62
JacksonCore-26f,ReaderBasedJsonParser,30,5.5,46,0.0,0.0,0.0,41.9,0.0,0.0,0.0,0.0,29.24,0.0
JacksonCore-26f,NumberInput,12,5,13,61.65,76.69,75.94,88.72,85.71,42.2,61.47,64.22,83.49,75.23
JxPath-22f,BasicTypeConverter,32,6.0,12,24.0,61.78,67.56,84.44,52.89,21.23,66.04,66.04,81.13,49.53
JxPath-22f,JXPathBasicBeanInfo,14,4,3,80.0,90.0,93.33,95.0,66.67,60.0,75.0,85.0,95.0,75.0
JxPath-22f,SimpleCharStream,19,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JxPath-22f,DOMNodePointer,12,2.0,26,1.13,36.44,51.69,63.28,1.69,1.09,31.88,36.23,48.55,2.54
JxPath-22f,PropertyIterator,13,4.5,4,0.0,69.23,0.0,0.0,0.0,0.0,55.1,0.0,0.0,0.0
JxPath-22f,PackageFunctions,18,18,1,75.0,80.0,88.33,78.33,28.33,55.0,67.5,77.5,62.5,22.5
JxPath-22f,JDOMNodePointer,12,3,23,31.93,35.62,22.43,60.69,29.02,22.56,24.24,13.8,47.81,23.91
JxPath-22f,ValueUtils,12,5.5,16,33.33,41.87,47.56,44.72,43.9,33.78,43.24,51.35,49.32,49.32
JxPath-22f,MethodLookupUtils,16,14,3,58.99,76.26,90.65,92.09,16.55,45.0,71.0,83.0,82.0,11.0
JxPath-22f,PredicateContext,12,3,5,0.0,0.0,50.63,50.63,0.0,0.0,0.0,48.08,44.23,0.0
JxPath-22f,DescendantContext,11,3.0,4,0.0,48.21,16.07,16.07,0.0,0.0,28.95,0.0,0.0,0.0
JxPath-22f,Step,15,11.5,2,64.81,100.0,100.0,96.3,53.7,48.0,82.0,84.0,78.0,36.0
Jsoup-93f,HtmlTreeBuilder,15,1.0,58,3.9,50.91,53.25,57.4,3.12,0.48,36.67,39.52,43.33,0.48
Jsoup-93f,DataUtil,22,1,9,8.04,70.54,52.68,79.46,83.93,3.0,49.0,31.0,57.0,67.0
Jsoup-93f,Tokeniser,18,1.0,22,0.0,0.0,45.22,74.52,0.0,0.0,0.0,22.34,44.68,0.0
Jsoup-93f,FormElement,12,1,5,59.52,100.0,100.0,100.0,0.0,36.67,76.67,90.0,83.33,0.0
Jsoup-93f,Tag,11,1,11,79.41,89.22,92.16,90.2,63.73,42.42,56.06,63.64,51.52,24.24
Jsoup-93f,TokenQueue,12,2.0,28,70.92,89.36,90.07,87.94,52.48,56.92,70.77,71.54,69.23,35.38
Jsoup-93f,CharacterReader,11,3,33,79.13,87.01,92.13,83.46,35.04,54.0,70.5,74.5,68.5,23.5
Jsoup-93f,NodeTraversor,12,3,5,37.88,39.39,95.45,90.91,57.58,30.43,39.13,95.65,78.26,54.35
Codec-18f,Base32,14,11,3,0.0,88.48,23.64,60.0,0.0,0.0,81.33,21.33,61.33,0.0
Codec-18f,QuotedPrintableCodec,11,2,13,20.33,66.67,86.99,83.74,55.28,9.76,52.44,76.83,76.83,47.56
Codec-18f,Md5Crypt,11,1,7,90.91,96.97,98.48,98.48,98.48,80.77,96.15,100.0,100.0,96.15
Codec-18f,ColognePhonetic,22,1,11,80.23,90.7,96.51,91.86,80.23,74.42,90.7,91.86,90.7,63.95
Codec-18f,Base64,11,1.0,20,64.19,67.57,86.49,89.19,79.73,50.0,55.88,75.49,82.35,70.59
Codec-18f,PhoneticEngine,13,3,7,0.0,78.76,12.39,97.35,0.0,0.0,68.18,2.27,90.91,0.0
Codec-18f,DoubleMetaphone,31,1,17,17.79,56.25,54.33,52.16,19.95,10.73,41.55,37.21,37.21,14.16
Compress-47f,BlockSort,18,9.5,4,0.0,36.08,0.0,71.93,0.0,0.0,27.5,0.0,56.43,0.0
Compress-47f,BinaryTree,12,4,3,23.08,40.0,96.92,90.77,29.23,15.62,34.38,96.88,87.5,18.75
Compress-47f,ZipArchiveInputStream,18,3,11,0.0,35.24,34.99,33.5,15.63,0.0,16.24,18.08,16.24,7.01
Compress-47f,ArchiveStreamFactory,22,1.5,12,36.24,64.43,63.76,58.39,28.19,30.43,69.57,66.3,53.26,16.3
Compress-47f,ArArchiveInputStream,19,6.5,4,8.89,35.56,34.81,54.07,29.63,10.71,25.0,26.19,41.67,23.81
Compress-47f,TarArchiveInputStream,13,2.0,14,0.0,48.8,43.54,55.5,21.05,0.0,33.06,33.06,43.55,13.71
Compress-47f,ExtraFieldUtils,13,2,7,54.37,85.44,72.82,66.02,44.66,39.13,78.26,52.17,50.0,36.96
Compress-47f,CpioArchiveInputStream,12,6.5,6,4.57,33.79,27.85,28.77,21.46,8.33,30.56,25.0,31.48,29.63
Compress-47f,GzipCompressorInputStream,11,3.5,4,32.73,47.27,53.64,53.64,7.27,21.92,36.99,41.1,35.62,9.59
JacksonDatabind-112f,ClassUtil,15,2,73,13.24,14.12,40.29,50.29,55.88,11.36,14.02,40.15,45.83,57.58
JacksonDatabind-112f,ObjectWriter,11,1,79,17.97,29.95,59.91,49.31,23.04,18.42,28.95,34.21,39.47,13.16
JacksonDatabind-112f,TypeFactory,14,1,57,0.0,58.35,56.52,57.21,55.38,0.0,42.75,43.87,41.26,39.78
JacksonDatabind-112f,POJOPropertiesCollector,16,2,29,0.0,0.0,2.15,24.73,0.0,0.0,0.0,0.6,12.28,0.0
JacksonDatabind-112f,StdDateFormat,15,2.0,26,58.3,80.57,72.08,85.16,73.14,36.64,67.94,52.67,67.18,60.31
JacksonDatabind-112f,AnnotationIntrospectorPair,14,4.0,86,0.0,29.6,19.13,30.69,53.79,0.0,12.98,11.06,21.15,51.44
JacksonDatabind-112f,SimpleType,16,1.0,16,54.95,63.74,79.12,69.23,42.86,34.0,44.0,76.0,60.0,38.0
JacksonDatabind-112f,NumberDeserializers,22,22,1,16.67,16.67,16.67,97.92,16.67,9.09,9.09,9.09,100.0,9.09
JacksonDatabind-112f,AnnotatedMethodCollector,15,2.0,4,0.0,71.43,0.0,46.43,0.0,0.0,58.82,0.0,36.76,0.0
Time-13f,Hours,13,1,21,58.97,87.18,93.59,93.59,71.79,37.5,75.0,82.5,85.0,60.0
Time-13f,Days,12,1,21,65.79,84.21,89.47,97.37,85.53,35.9,79.49,76.92,92.31,71.79
Time-13f,PeriodFormatterBuilder,26,1,75,67.82,83.91,82.18,91.95,50.0,38.55,59.04,56.63,68.67,33.73
Time-13f,DateTimeFormatterBuilder,30,1,139,39.06,45.83,74.48,96.88,58.33,35.92,42.72,61.17,88.35,54.37
Time-13f,ISODateTimeFormat,11,2.0,52,0.35,32.58,52.09,93.55,30.14,0.76,23.28,55.34,72.52,16.03
Time-13f,Months,17,2,15,70.51,85.9,82.05,93.59,88.46,61.36,79.55,65.91,86.36,68.18
Time-13f,PeriodType,17,2.0,36,92.34,95.97,95.97,95.97,89.92,74.04,84.62,89.42,89.42,79.81
Time-13f,FormatUtils,12,6,11,49.67,65.56,66.23,88.74,77.48,52.94,64.71,63.73,84.31,70.59
Time-13f,ZoneInfoCompiler,18,2,23,41.74,64.88,44.21,52.07,27.27,30.07,51.75,32.17,46.85,23.08
Time-13f,DateTimeParserBucket,18,1,15,49.07,64.81,0.0,0.0,13.89,32.26,41.94,0.0,0.0,6.45
Time-13f,DateTimeZoneBuilder,17,3.0,50,74.83,74.83,76.92,82.52,52.45,51.25,51.25,52.5,60.0,37.5
Lang-4f,StringUtils,14,2.0,174,4.26,9.76,2.05,3.45,78.21,5.4,10.23,2.34,3.71,66.88
Lang-4f,Conversion,23,4.0,42,11.52,54.13,69.1,81.96,70.44,8.55,43.2,60.53,69.74,68.64
Lang-4f,NumericEntityUnescaper,12,6.5,2,80.49,80.49,14.63,82.93,0.0,68.75,68.75,6.25,77.08,0.0
Lang-4f,BooleanUtils,16,1.0,36,37.89,72.63,50.0,91.05,69.47,30.08,69.14,35.55,74.61,55.08
Lang-4f,EqualsBuilder,14,2.0,30,57.25,69.85,69.85,66.03,80.53,49.57,64.22,65.09,58.19,68.97
Lang-4f,DurationFormatUtils,20,1,15,41.63,81.45,84.62,84.62,54.3,31.58,71.43,74.44,77.44,48.12
Lang-4f,AnnotationUtils,19,7.5,4,6.14,20.18,54.39,28.07,6.14,7.61,15.22,53.26,26.09,5.43
Lang-4f,ObjectUtils,11,1.0,30,42.19,67.97,74.22,82.81,78.12,48.78,70.73,74.39,91.46,85.37
Lang-4f,DateUtils,19,1.0,54,48.06,58.06,52.58,77.74,61.29,38.07,51.38,42.66,56.42,50.0
