class,qwen3_line,qwen3_branch,qwen3_mcts_line,qwen3_mcts_branch
Base32,12.65,12.0,66.84,54.67
MethodLookupUtils,92.81,83.0,74.15,64.0
TokenFilterContext,21.01,11.11,24.64,11.11
IteratorUtils,12.0,9.86,30.4,25.35
BasicTypeConverter,26.67,24.53,13.39,12.26
FromXmlParser,5.38,2.68,5.38,2.68
CharacterReader,65.75,55.0,98.43,89.0
BicubicSplineInterpolator,100.0,100.0,100.0,100.0
UTF8JsonGenerator,0.76,0.0,19.29,13.61
IterableUtils,95.24,100.0,21.71,25.81
PrototypeFactory,0.0,0.0,0.0,0.0
FastDatePrinter,64.12,57.84,64.12,57.84
ObjectWriter,15.07,13.16,31.96,26.32
PackageFunctions,86.89,65.0,84.72,57.5
XmlFactory,25.0,5.77,25.0,5.77
DOMNodePointer,0.0,0.0,0.0,0.0
ObjectUtils,74.22,81.71,79.69,87.8
Frequency,79.73,82.14,78.17,76.79
HtmlTreeBuilder,2.34,0.48,2.6,0.48
JsonTreeReader,19.16,13.33,39.52,31.11
TricubicSplineInterpolator,100.0,94.44,96.63,88.89
ProperBigFractionFormat,82.09,66.67,0.0,0.0
PeriodType,37.5,33.65,94.35,90.38
LUDecomposition,76.47,61.11,96.47,90.74
AnnotationUtils,14.04,15.22,34.21,33.7
Rotation,21.37,18.52,0.0,0.0
DfpMath,5.07,3.09,0.0,0.0
DateUtils,17.42,15.14,17.42,15.14
Dfp,40.62,35.86,0.0,0.0
Days,94.74,92.31,94.74,92.31
BracketingNthOrderBrentSolver,68.94,51.52,0.0,0.0
MathArrays,9.79,7.63,3.96,11.65
QRDecomposition,46.75,30.95,58.44,42.86
Base64Variant,55.91,43.0,58.18,43.0
StaxUtil,92.5,82.5,92.5,85.0
ClassUtil,1.76,0.38,15.88,11.74
JXPathBasicBeanInfo,93.33,90.0,95.24,95.0
Conversion,13.63,11.18,13.63,11.18
OpenIntToDoubleHashMap,63.06,52.94,61.78,47.06
Flat3Map,56.7,48.97,37.26,27.59
ByteSourceJsonBootstrapper,0.0,0.0,19.07,11.59
PropertyIterator,0.0,0.0,0.0,0.0
DateTimeParserBucket,18.52,4.84,62.96,46.77
DescendantContext,0.0,0.0,24.19,7.89
NumberDeserializers,0.0,0.0,0.0,0.0
PhoneticEngine,89.38,84.09,89.09,86.36
FieldLUDecomposition,84.15,85.19,0.0,0.0
POJOPropertiesCollector,0.0,0.0,36.34,23.95
AnnotatedMethodCollector,0.0,0.0,46.43,32.35
ColognePhonetic,94.19,81.4,72.45,58.14
SimpleCharStream,36.31,32.14,38.95,26.79
ExtendedMessageFormat,12.9,4.5,16.67,8.11
ReaderBasedJsonParser,0.76,0.0,0.76,0.0
Excluder,37.08,17.07,51.69,28.05
SimpleType,67.03,60.0,68.13,64.0
DoubleMetaphone,44.47,29.68,58.21,46.58
RandomStringUtils,84.48,91.07,84.48,91.07
ToXmlGenerator,4.68,3.24,18.3,13.89
LocaleUtils,94.51,92.86,95.6,92.86
LoessInterpolator,88.79,75.0,0.0,0.0
Tag,88.24,51.52,89.22,51.52
Gson,0.0,0.0,62.55,35.19
EqualsBuilder,37.4,41.81,72.9,61.64
Beta,73.33,67.44,91.67,84.88
Hours,93.59,87.5,94.87,90.0
JDOMNodePointer,1.06,0.0,0.0,0.0
CSVParser,51.46,33.93,,
PeriodFormatterBuilder,77.59,60.24,77.59,60.24
NumericEntityUnescaper,0.0,0.0,97.56,83.33
SmoothingPolynomialBicubicSplineInterpolator,96.0,87.5,98.08,90.62
AnnotationIntrospectorPair,0.0,0.0,1.44,0.0
FieldUtils,0.0,0.0,69.23,65.28
OrderedTuple,87.2,69.15,82.81,67.02
NodeTraversor,56.06,50.0,57.58,52.17
Tokeniser,38.22,27.66,61.15,45.74
ClassUtils,79.6,66.09,79.6,66.09
QuotedPrintableCodec,43.09,26.83,11.11,4.88
NumberInput,25.56,17.43,87.22,82.57
MultivariateNormalMixtureExpectationMaximization,0.0,0.0,37.39,35.19
GaussNewtonOptimizer,21.31,11.54,22.03,11.54
NaturalRanking,58.02,55.36,49.63,44.64
PredicateContext,0.0,0.0,0.0,0.0
FastFourierTransformer,61.27,50.79,0.0,0.0
NameN,97.44,93.75,100.0,100.0
CSVParser,51.46,33.93,60.19,41.07
Md5Crypt,92.42,96.15,0.0,0.0
SimpleRegression,16.88,8.06,7.94,4.03
Months,94.87,95.45,94.87,95.45
StringUtils,9.46,8.46,19.15,17.41
TypeFactory,29.29,22.68,32.72,25.65
DataUtil,11.61,7.0,58.04,35.0
ArrayFieldVector,3.1,0.0,0.0,0.0
MultiStartUnivariateOptimizer,17.31,10.0,0.0,0.0
CSVFormat,59.23,41.76,49.23,33.33
