project,class,complexity,iter_0_line,iter_0_branch,iter_1_line,iter_1_branch,iter_2_line,iter_2_branch,final_line,final_branch,final_iter
JacksonDatabind,AnnotatedMethodCollector,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JacksonDatabind,AnnotationIntrospectorPair,14,0.0,0.0,0.0,0.0,2.89,2.88,2.89,2.88,5
Lang,AnnotationUtils,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Compress,ArArchiveInputStream,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Compress,ArchiveStreamFactory,22,12.75,3.26,26.17,14.13,26.17,14.13,26.17,14.13,3
Math,ArithmeticUtils,14,8.84,7.14,8.84,7.14,9.45,7.54,9.45,7.54,4
Math,ArrayFieldVector,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Codec,Base32,14,12.12,12.0,12.12,12.0,26.06,32.0,63.64,57.33,5
JacksonCore,Base64Variant,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Codec,Base64,11,68.92,53.92,69.59,54.9,69.59,54.9,69.59,54.9,3
JxPath,BasicTypeConverter,32,13.78,11.79,13.78,11.79,13.78,11.79,27.11,22.64,9
Math,Beta,16,60.74,52.33,76.3,67.44,82.96,70.93,85.93,77.91,7
Math,BicubicSplineInterpolator,14,0.0,0.0,97.78,91.18,100.0,94.12,100.0,94.12,2
Compress,BinaryTree,12,0.0,0.0,35.38,25.0,38.46,28.12,40.0,31.25,5
Compress,BlockSort,18,0.0,0.0,2.59,0.0,2.59,0.0,2.59,0.0,3
Lang,BooleanUtils,16,0.0,0.0,7.89,5.08,20.0,12.5,82.11,72.27,15
Math,BracketingNthOrderBrentSolverDFP,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Math,BracketingNthOrderBrentSolver,19,0.0,0.0,46.97,34.85,46.97,34.85,46.97,34.85,4
JacksonCore,ByteSourceJsonBootstrapper,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Csv,CSVFormat,25,28.21,13.03,53.08,36.4,53.08,36.4,53.08,36.4,4
