project,class,max_complexity,sum_complexity,methods,baseline_line_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_basic_line_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_coverage_line_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_line_qwen3-coder:30b-a3b-q8_0_think_mcts,symprompt_line_qwen3-coder:30b-a3b-q8_0_think_mcts,baseline_branch_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_basic_branch_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_coverage_branch_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_branch_qwen3-coder:30b-a3b-q8_0_think_mcts,symprompt_branch_qwen3-coder:30b-a3b-q8_0_think_mcts
JacksonXml-5f,ToXmlGenerator,20,2,55,,,,18.3,,,,,13.89,
JacksonXml-5f,XmlFactory,25,1.0,32,,,,25.0,,,,,5.77,
JacksonXml-5f,FromXmlParser,29,2,27,,,,5.38,,,,,2.68,
JacksonXml-5f,StaxUtil,12,1.0,4,,,,92.5,,,,,85.0,
Csv-16f,CSVParser,11,1,13,,,,60.19,,,,,41.07,
Csv-16f,CSVFormat,25,1,47,,,,49.23,,,,,33.33,
Csv-16f,Lexer,14,1.0,12,,,,0.0,,,,,0.0,
Collections-28f,IteratorUtils,32,1.0,68,,,,30.4,,,,,25.35,
Collections-28f,Flat3Map,23,3.0,36,,,,37.26,,,,,27.59,
Collections-28f,MapUtils,11,2,71,,,,3.51,,,,,4.26,
Collections-28f,IterableUtils,11,1.0,40,,,,21.71,,,,,25.81,
Collections-28f,PrototypeFactory,16,9,3,,,,0.0,,,,,0.0,
Gson-16f,Gson,22,1.0,28,,,,62.55,,,,,35.19,
Gson-16f,JsonTreeReader,23,2.0,18,,,,39.52,,,,,31.11,
Gson-16f,JsonReader,37,4.5,20,,,,43.83,,,,,33.05,
Gson-16f,Excluder,11,2,9,,,,51.69,,,,,28.05,
Cli-40f,HelpFormatter,11,1,29,,,,70.7,,,,,55.74,
Cli-40f,PosixParser,11,8.0,2,,,,66.67,,,,,59.62,
JacksonCore-26f,JsonStringEncoder,18,12.0,4,,,,42.92,,,,,44.23,
JacksonCore-26f,UTF8JsonGenerator,11,4.0,42,,,,19.29,,,,,13.61,
JacksonCore-26f,TokenFilterContext,11,2.5,16,,,,24.64,,,,,11.11,
JacksonCore-26f,Base64Variant,14,1.0,26,,,,58.18,,,,,43.0,
JacksonCore-26f,UTF32Reader,14,3,3,,,,56.44,,,,,46.67,
JacksonCore-26f,ByteSourceJsonBootstrapper,22,5.0,6,,,,19.07,,,,,11.59,
JacksonCore-26f,NameN,15,1,5,,,,100.0,,,,,100.0,
JacksonCore-26f,ReaderBasedJsonParser,30,5.5,46,,,,0.76,,,,,0.0,
JacksonCore-26f,NumberInput,12,5,13,,,,87.22,,,,,82.57,
JxPath-22f,BasicTypeConverter,32,6.0,12,,,,13.39,,,,,12.26,
JxPath-22f,JXPathBasicBeanInfo,14,4,3,,,,95.24,,,,,95.0,
JxPath-22f,SimpleCharStream,19,2.0,16,,,,38.95,,,,,26.79,
JxPath-22f,DOMNodePointer,12,2.0,26,,,,0.0,,,,,0.0,
JxPath-22f,PropertyIterator,13,4.5,4,,,,0.0,,,,,0.0,
JxPath-22f,PackageFunctions,18,18,1,,,,84.72,,,,,57.5,
JxPath-22f,JDOMNodePointer,12,3,23,,,,0.0,,,,,0.0,
JxPath-22f,ValueUtils,12,5.5,16,,,,2.99,,,,,2.7,
JxPath-22f,MethodLookupUtils,16,14,3,,,,74.15,,,,,64.0,
JxPath-22f,PredicateContext,12,3,5,,,,0.0,,,,,0.0,
JxPath-22f,DescendantContext,11,3.0,4,,,,24.19,,,,,7.89,
JxPath-22f,Step,15,11.5,2,,,,3.03,,,,,2.0,
Jsoup-93f,HtmlTreeBuilder,15,1.0,58,,,,2.6,,,,,0.48,
Jsoup-93f,DataUtil,22,1,9,,,,58.04,,,,,35.0,
Jsoup-93f,Tokeniser,18,1.0,22,,,,61.15,,,,,45.74,
Jsoup-93f,FormElement,12,1,5,,,,100.0,,,,,80.0,
Jsoup-93f,Tag,11,1,11,,,,89.22,,,,,51.52,
Jsoup-93f,TokenQueue,12,2.0,28,,,,85.82,,,,,76.15,
Jsoup-93f,CharacterReader,11,3,33,,,,98.43,,,,,89.0,
Jsoup-93f,NodeTraversor,12,3,5,,,,57.58,,,,,52.17,
Codec-18f,Base32,14,11,3,,,,66.84,,,,,54.67,
Codec-18f,QuotedPrintableCodec,11,2,13,,,,11.11,,,,,4.88,
Codec-18f,Md5Crypt,11,1,7,,,,0.0,,,,,0.0,
Codec-18f,ColognePhonetic,22,1,11,,,,72.45,,,,,58.14,
Codec-18f,Base64,11,1.0,20,,,,77.27,,,,,58.82,
Codec-18f,PhoneticEngine,13,3,7,,,,89.09,,,,,86.36,
Codec-18f,DoubleMetaphone,31,1,17,,,,58.21,,,,,46.58,
Compress-47f,BlockSort,18,9.5,4,,,,,,,,,,
Compress-47f,BinaryTree,12,4,3,,,,,,,,,,
Compress-47f,ZipArchiveInputStream,18,3,11,,,,,,,,,,
Compress-47f,ArchiveStreamFactory,22,1.5,12,,,,,,,,,,
Compress-47f,ArArchiveInputStream,19,6.5,4,,,,,,,,,,
Compress-47f,TarArchiveInputStream,13,2.0,14,,,,,,,,,,
Compress-47f,ExtraFieldUtils,13,2,7,,,,,,,,,,
Compress-47f,CpioArchiveInputStream,12,6.5,6,,,,,,,,,,
Compress-47f,GzipCompressorInputStream,11,3.5,4,,,,,,,,,,
JacksonDatabind-112f,ClassUtil,15,2,73,,,,15.88,,,,,11.74,
JacksonDatabind-112f,ObjectWriter,11,1,79,,,,31.96,,,,,26.32,
JacksonDatabind-112f,TypeFactory,14,1,57,,,,32.72,,,,,25.65,
JacksonDatabind-112f,POJOPropertiesCollector,16,2,29,,,,36.34,,,,,23.95,
JacksonDatabind-112f,StdDateFormat,15,2.0,26,,,,70.77,,,,,54.96,
JacksonDatabind-112f,AnnotationIntrospectorPair,14,4.0,86,,,,1.44,,,,,0.0,
JacksonDatabind-112f,SimpleType,16,1.0,16,,,,68.13,,,,,64.0,
JacksonDatabind-112f,NumberDeserializers,22,22,1,,,,0.0,,,,,0.0,
JacksonDatabind-112f,AnnotatedMethodCollector,15,2.0,4,,,,46.43,,,,,32.35,
Time-13f,Hours,13,1,21,,,,94.87,,,,,90.0,
Time-13f,Days,12,1,21,,,,94.74,,,,,92.31,
Time-13f,PeriodFormatterBuilder,26,1,75,,,,77.59,,,,,60.24,
Time-13f,DateTimeFormatterBuilder,30,1,139,,,,81.77,,,,,69.9,
Time-13f,ISODateTimeFormat,11,2.0,52,,,,14.63,,,,,6.49,
Time-13f,Months,17,2,15,,,,94.87,,,,,95.45,
Time-13f,PeriodType,17,2.0,36,,,,94.35,,,,,90.38,
Time-13f,FormatUtils,12,6,11,,,,44.52,,,,,40.2,
Time-13f,ZoneInfoCompiler,18,2,23,,,,0.0,,,,,0.0,
Time-13f,DateTimeParserBucket,18,1,15,,,,62.96,,,,,46.77,
Time-13f,DateTimeZoneBuilder,17,3.0,50,,,,54.55,,,,,45.0,
Lang-4f,StringUtils,14,2.0,174,,,,19.15,,,,,17.41,
Lang-4f,Conversion,23,4.0,42,,,,13.63,,,,,11.18,
Lang-4f,NumericEntityUnescaper,12,6.5,2,,,,97.56,,,,,83.33,
