project,class,complexity,category,methods,llama_line,llama_branch,gpt_line,gpt_branch,claude_line,claude_branch,mistral_line,mistral_branch
JacksonXml-5f,ToXmlGenerator,20,e,55,61.11,60.65,0.0,0.0,0.0,0.0,0.0,0.0
JacksonXml-5f,XmlFactory,25,e,32,70.49,61.54,48.36,47.12,61.07,70.19,75.0,72.12
JacksonXml-5f,FromXmlParser,29,e,27,44.62,42.28,0.0,0.0,0.0,0.0,0.0,0.0
JacksonXml-5f,StaxUtil,12,,4,95.0,87.5,90.0,82.5,75.0,82.5,92.5,82.5
Csv-16f,CSVParser,11,,13,68.32,33.93,66.34,30.36,73.27,44.64,78.22,60.71
Csv-16f,CSVFormat,25,,47,80.26,62.84,72.82,55.94,78.46,62.45,77.18,65.9
Csv-16f,Lexer,14,,12,82.39,73.44,0.0,0.0,34.51,33.59,52.11,49.22
Collections-28f,IteratorUtils,32,,68,83.56,83.1,88.44,88.03,13.33,12.68,88.44,85.21
Collections-28f,Flat3Map,23,,36,82.96,66.55,83.8,67.59,95.81,83.45,92.18,78.97
Collections-28f,MapUtils,11,,71,53.27,52.66,38.56,43.09,35.62,43.62,58.17,56.91
Collections-28f,IterableUtils,11,,40,89.68,90.32,92.86,91.94,99.21,100.0,92.86,91.94
Collections-28f,PrototypeFactory,16,,3,53.85,50.0,0.0,0.0,61.54,75.0,61.54,75.0
Gson-16f,Gson,22,,28,90.53,68.52,69.96,35.19,69.14,37.04,86.01,64.81
Gson-16f,JsonTreeReader,23,e,18,90.42,84.44,80.24,74.44,87.43,81.11,90.42,82.22
Gson-16f,JsonReader,37,,20,53.16,42.05,55.42,44.35,69.73,56.07,0.0,0.0
Gson-16f,Excluder,11,,9,74.16,48.78,87.64,71.95,91.01,70.73,16.85,3.66
Cli-40f,HelpFormatter,11,,29,81.6,63.11,64.62,43.44,98.11,81.97,34.91,17.21
Cli-40f,PosixParser,11,e,2,85.51,76.92,86.96,65.38,97.1,82.69,81.16,61.54
JacksonCore-26f,JsonStringEncoder,18,,4,61.79,62.5,35.85,36.54,73.11,74.04,57.08,53.85
