class,init_line,no_feedback_final_line,baseline_final_line,cov_final_line,control_final_line,init_branch,no_feedback_final_branch,baseline_final_branch,cov_final_branch,control_final_branch
Tag,77.45,77.45,77.45,77.45,77.45,50.0,50.0,50.0,50.0,50.0
ColognePhonetic,93.02,94.19,94.19,94.19,97.67,90.7,91.86,91.86,91.86,93.02
FormElement,92.86,92.86,100.0,100.0,100.0,83.33,83.33,90.0,90.0,90.0
JsonTreeReader,16.17,73.65,81.44,74.85,67.07,8.89,67.78,68.89,70.0,54.44
QuotedPrintableCodec,42.28,77.24,63.41,77.24,69.92,35.37,70.73,57.32,67.07,62.2
Metaphone,97.62,97.62,97.62,97.62,98.81,90.0,91.25,91.25,90.62,90.62
CSVParser,51.49,61.39,68.32,70.3,54.46,35.71,48.21,55.36,64.29,37.5
ZipArchiveInputStream,69.98,74.69,70.97,70.47,70.72,48.34,56.83,49.82,50.55,49.08
PhoneticEngine,85.84,86.73,86.73,92.92,85.84,79.55,81.82,81.82,84.09,79.55
IteratorUtils,22.22,56.89,71.11,33.78,86.22,23.94,54.93,70.42,30.28,87.32
MapUtils,0.98,0.98,0.98,0.98,0.98,0.0,0.0,0.0,0.0,0.0
DumpArchiveInputStream,5.0,5.0,5.0,61.5,6.5,0.0,0.0,0.0,45.54,2.68
JsonReader,93.37,93.37,93.67,93.37,95.33,85.77,85.77,86.19,85.77,88.91
TarArchiveInputStream,51.2,61.24,60.29,58.85,60.77,35.48,44.35,44.35,43.55,45.97
ObjectMapper,4.64,17.65,9.75,10.68,44.12,2.13,11.17,6.38,6.38,26.6
Gson,,85.6,81.07,81.48,88.89,,70.37,57.41,62.96,68.52
CSVFormat,26.41,40.0,34.87,28.97,75.9,10.73,20.69,16.09,14.94,59.77
IterableUtils,54.76,54.76,54.76,54.76,54.76,64.52,64.52,64.52,64.52,64.52
ObjectWriter,16.13,46.08,43.78,32.26,62.67,5.26,15.79,28.95,23.68,42.11
HtmlTreeBuilder,2.08,4.68,65.19,35.06,20.0,0.48,0.48,43.33,23.81,10.95
TypeDeserializer,88.24,88.24,88.24,88.24,88.24,72.22,72.22,72.22,94.44,72.22
TypeFactory,58.81,58.81,58.81,58.81,58.81,43.87,43.87,43.87,43.87,43.87
ClassUtil,37.65,70.88,59.71,56.76,70.0,35.61,73.11,60.23,60.23,62.12
StdDateFormat,38.16,38.16,38.16,38.16,38.16,29.01,29.01,29.01,29.01,29.01
JacksonAnnotationIntrospector,41.37,44.78,42.45,41.37,42.45,30.33,32.33,30.83,30.33,30.83
ArArchiveInputStream,69.63,71.11,69.63,71.85,83.7,44.05,45.24,44.05,47.62,66.67
DataUtil,86.61,90.18,90.18,91.07,92.86,72.0,79.0,76.0,77.0,78.0
ExtraFieldUtils,42.72,62.14,79.61,44.66,85.44,17.39,39.13,60.87,17.39,84.78
CharacterReader,71.26,71.26,72.83,72.83,91.34,58.5,58.5,60.0,60.0,75.0
POJOPropertiesCollector,41.29,57.63,41.29,41.72,56.56,26.95,44.61,26.95,29.34,37.72
TokenQueue,57.45,87.23,89.36,87.23,78.72,39.23,73.85,76.92,66.15,61.54
Flat3Map,,83.52,59.22,61.17,81.01,,72.07,54.83,56.9,67.24
CpioArchiveInputStream,55.25,59.82,59.82,58.45,62.1,37.96,41.67,43.52,40.74,51.85
NameTransformer,83.33,100.0,100.0,100.0,91.67,78.57,100.0,100.0,100.0,78.57
BasicTypeConverter,,45.33,51.56,52.89,28.89,,45.28,55.19,58.02,21.23
ISO8601Utils,90.23,92.48,91.73,91.73,90.23,75.9,84.34,81.93,84.34,75.9
ArchiveStreamFactory,23.49,56.38,56.38,73.83,58.39,11.96,44.57,44.57,66.3,46.74
DoubleMetaphone,89.42,89.42,89.42,89.9,89.66,77.85,77.85,77.85,78.08,78.31
BeanDeserializer,0.0,3.54,3.54,0.0,0.0,0.0,2.01,2.41,0.0,0.0
Md5Crypt,9.09,92.42,90.91,92.42,98.48,7.69,96.15,92.31,96.15,92.31
