ID,subject,testable methods,cyclomatic complexity
1,Cli-40f,"[170, 125, 42, 3, 0]","[1, 1.0, 1.0, 2.0, 14]"
2,Codec-18f,"[411, 259, 141, 8, 3]","[1, 1.0, 1.0, 2.0, 67]"
3,Collections-28f,"[1456, 864, 582, 8, 2]","[1, 1.0, 1.0, 2.0, 32]"
4,Compress-47f,"[958, 571, 370, 14, 3]","[1, 1.0, 1.0, 2.0, 53]"
5,Csv-16f,"[104, 73, 26, 4, 1]","[1, 1.0, 1.0, 2.0, 25]"
6,Gson-16f,"[379, 205, 159, 8, 7]","[1, 1.0, 1.0, 2.0, 249]"
7,JacksonCore-26f,"[1249, 513, 674, 46, 16]","[1, 1.0, 2.0, 4.0, 45]"
8,JacksonDatabind-112f,"[3184, 1824, 1292, 61, 7]","[1, 1.0, 1.0, 2.0, 94]"
9,JacksonXml-5f,"[277, 128, 127, 18, 4]","[1, 1.0, 2.0, 3.0, 29]"
10,Jsoup-93f,"[790, 550, 231, 8, 1]","[1, 1.0, 1.0, 2.0, 22]"
11,JxPath-22f,"[888, 317, 524, 30, 17]","[1, 1.0, 2.0, 4.0, 105]"
12,Lang-4f,"[1847, 959, 856, 25, 7]","[1, 1.0, 1.0, 3.0, 48]"
13,Math-2f,"[3040, 1606, 1369, 50, 15]","[1, 1.0, 1.0, 3.0, 56]"
14,Time-13f,"[2544, 1569, 939, 31, 5]","[1, 1.0, 1.0, 2.0, 36]"
15,closure-compiler,"[4093, 2298, 1618, 121, 56]","[1, 1.0, 1.0, 3.0, 187]"
16,mockito,"[963, 703, 248, 9, 3]","[1, 1.0, 1.0, 2.0, 28]"
17,Chart-1f,"[4942, 2175, 2570, 161, 36]","[1, 1.0, 2.0, 3.0, 70]"
