project,class_name,max_complexity,qwen3-coder:30b_last_line_coverage,qwen3-coder:30b_last_branch_coverage,qwen3-coder:30b-q8_0_constraints_mcts_last_line_coverage,qwen3-coder:30b-q8_0_constraints_mcts_last_branch_coverage
Time-13f,DateTimeZoneBuilder,17,13.99,7.5,54.55,45.0
Lang-4f,ClassUtils,19,79.6,66.09,79.6,66.09
JacksonDatabind-112f,ClassUtil,15,79.6,66.09,79.6,66.09
Math-2f,QRDecomposition,14,46.75,30.95,58.44,42.86
Math-2f,SummaryStatistics,13,43.75,29.31,90.69,70.69
Math-2f,OrderedTuple,13,87.2,69.15,82.81,67.02
Math-2f,Rotation,25,21.37,18.52,0.0,0.0
JxPath-22f,SimpleCharStream,19,36.31,32.14,38.95,26.79
Time-13f,DateTimeParserBucket,18,18.52,4.84,62.96,46.77
JacksonDatabind-112f,AnnotationIntrospectorPair,14,0.0,0.0,1.44,0.0
JacksonXml-5f,ToXmlGenerator,20,4.68,3.24,18.3,13.89
JacksonCore-26f,JsonStringEncoder,18,14.62,10.58,42.92,44.23
Jsoup-93f,FormElement,12,83.72,73.33,100.0,80.0
Math-2f,TricubicSplineInterpolator,23,100.0,94.44,96.63,88.89
Gson-16f,Excluder,11,37.08,17.07,51.69,28.05
Math-2f,FieldLUDecomposition,12,84.15,85.19,0.0,0.0
Lang-4f,BooleanUtils,16,8.42,5.47,30.53,19.92
Time-13f,ISODateTimeFormat,11,14.63,6.49,14.63,6.49
Time-13f,PeriodFormatterBuilder,26,77.59,60.24,77.59,60.24
JacksonDatabind-112f,StdDateFormat,15,51.41,35.11,70.77,54.96
Lang-4f,RandomStringUtils,16,84.48,91.07,84.48,91.07
Csv-16f,Lexer,14,42.25,38.28,0.0,0.0
Lang-4f,StringUtils,14,9.46,8.46,19.15,17.41
JxPath-22f,DescendantContext,11,0.0,0.0,24.19,7.89
Csv-16f,CSVFormat,25,59.23,41.76,49.23,33.33
Math-2f,RealMatrixFormat,16,49.06,22.73,49.54,22.73
JxPath-22f,PredicateContext,12,0.0,0.0,0.0,0.0
Lang-4f,HashCodeBuilder,11,82.47,71.43,82.47,71.43
Lang-4f,FastDatePrinter,30,64.12,57.84,64.12,57.84
Lang-4f,CompareToBuilder,15,37.5,32.08,37.5,32.08
Math-2f,ProperBigFractionFormat,11,82.09,66.67,0.0,0.0
Jsoup-93f,CharacterReader,11,65.75,55.0,98.43,89.0
Codec-18f,PhoneticEngine,13,89.38,84.09,89.09,86.36
Lang-4f,EqualsBuilder,14,37.4,41.81,72.9,61.64
Codec-18f,Md5Crypt,11,92.42,96.15,0.0,0.0
Math-2f,ArithmeticUtils,14,0.91,1.59,10.34,7.14
Lang-4f,ExtendedMessageFormat,11,12.9,4.5,16.67,8.11
JacksonDatabind-112f,TypeFactory,14,29.29,22.68,32.72,25.65
Time-13f,PeriodType,17,37.5,33.65,94.35,90.38
Math-2f,NaturalRanking,13,58.02,55.36,49.63,44.64
Math-2f,SimpleRegression,13,16.88,8.06,7.94,4.03
Codec-18f,QuotedPrintableCodec,11,43.09,26.83,11.11,4.88
Lang-4f,Conversion,23,13.63,11.18,13.63,11.18
