project,class_count,qwen3-coder:30b_avg_line_coverage,qwen3-coder:30b_avg_branch_coverage,qwen3-coder:30b-q8_0_constraints_mcts_avg_line_coverage,qwen3-coder:30b-q8_0_constraints_mcts_avg_branch_coverage,line_coverage_improvement,branch_coverage_improvement
Cli-40f,2,63.11,37.98,68.69,57.68,8.83,51.89
Codec-18f,7,61.73,53.31,50.84,41.95,-17.64,-21.31
Collections-28f,5,33.44,32.4,18.58,16.6,-44.45,-48.77
Csv-16f,3,50.98,37.99,36.47,24.8,-28.46,-34.72
Gson-16f,4,24.9,15.81,49.4,31.85,98.36,101.42
JacksonCore-26f,9,30.28,24.73,45.39,39.2,49.92,58.52
JacksonDatabind-112f,9,26.93,21.89,40.82,32.59,51.56,48.86
JacksonXml-5f,4,31.89,23.55,35.3,26.84,10.68,13.96
Jsoup-93f,8,49.8,39.37,69.11,53.76,38.76,36.53
JxPath-22f,12,34.46,29.56,28.05,22.34,-18.6,-24.4
Lang-4f,17,39.36,36.72,56.84,51.38,44.41,39.95
Math-2f,30,46.77,39.01,36.17,30.99,-22.67,-20.56
Time-13f,11,47.33,41.57,64.99,57.89,37.29,39.26
